id,related_scenes,question,answer,related_context,question_type,question_source
1,"47、INT. APARTMENT, TOKYO - CONTINUOUS","In [47、INT. APARTMENT, TOKYO - CONTINUOUS], What object is spun on the table by Cobb?",PEWTER SPINNING TOP,"Pulls out a PEWTER SPINNING TOP, SPINS it on the table...",Scene Grounding,broad_coverage_scene
2,2、INT. SAME - MOMENTS LATER,How is the cone described when the Elderly Japanese Man spins it onto the table?,It CIRCLES gracefully across the polished ebony,ELDERLY JAPANESE MAN I know what this is. He SPINS it onto a table- it CIRCLES gracefully across the polished ebony...,Scene Grounding,broad_coverage_scene
3,3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER),"In [3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER)], What is Saito's behavioral state when he leaves the table?",Gives a flicker of a smile,Saito gives this a flicker of a smile. Rises,Character Understanding,broad_coverage_scene
4,27、INT. FILTHY BATHROOM - CONTINUOUS,Why does Cobb fall backwards?,"Nash pushes him, causing him to fall.",Nash puts his hand on Cobb's forehead and PUSHES HIM BACKWARDS- as Cobb starts to FALL BACKWARDS in the chair,Causal-Motivational Reasoning,broad_coverage_scene
5,"30、INT. GRAND STAIRCASE, JAPANESE CASTLE - NIGHT",Why is Cobb submerged in water?,Because water exploded through the windows and flooded the hall,"WATER EXPLODES IN THROUGH ALL THE WINDOWS, FLOODING THE ENTIRE HALL",Causal-Motivational Reasoning,broad_coverage_scene
6,"23、INT. DINING ROOM, JAPANESE CASTLE - NIGHT","In [23、INT. DINING ROOM, JAPANESE CASTLE - NIGHT], What is Saito's physical condition after the ceiling cracks?",He is crushed by a ton of stone.,CRUSHING HIM,Character Understanding,broad_coverage_scene
7,26、INT. DILAPIDATED HOTEL ROOM-CONTINUOUS,What action does Saito take to signal silence?,Points a gun to Arthur's head and gestures silence,"Saito with a gun to his head and a finger to his lips, gesturing silence",Character Understanding,broad_coverage_scene
8,29、INT. FILTHY BATHROOM - DAY,What action does Cobb perform when he hits the water?,Cobb hits the water in slow motion with his head thrashing as he goes under.,"Cobb in SLOW MOTION, hits the WATER- head THRASHING as he goes under- and we- CUT TO:",Scene Grounding,broad_coverage_scene
9,31、INT. FILTHY BATHROOM - DAY,"In [31、INT. FILTHY BATHROOM - DAY], What is Cobb's state when he first appears in the scene?",Awake and gulping air.,"Cobb's AWAKE, GULPING AIR, getting his bearings.",Character Understanding,broad_coverage_scene
10,2、INT. SAME - MOMENTS LATER,What camera direction is specified for the spinning top scene?,MOVE IN on the GRACEFULLY SPINNING TOP,MOVE IN on the GRACEFULLY SPINNING TOP...,Scene Grounding,broad_coverage_scene
