id,related_scenes,question,answer,related_context,question_type,question_source
1,25场,老温为何担心赔钱？,因需用鲍鱼等贵重食材替换散掉的排翅,老温：啊！鲍鱼！那得赔多少钱? 老朱：到了这个时候，赔钱也得做,Causal-Motivational Reasoning,broad_coverage_scene
2,26场夜/内景,"在[26场夜/内景]中, 家珍在厨房里的情绪如何？",不悦，几乎落泪,家珍停止了洗碗，神情不悦，几乎落泪,Character Understanding,broad_coverage_scene
3,8场,"在[8场]中, 家倩与葛雷通话时的情绪状态如何？",敷衍且冷淡,家倩：新男朋友怎么样? 葛雷：嗨，家倩，还好啦…… 家倩：呣，满好的。,Character Understanding,broad_coverage_scene
4,63场日/内景,"在[63场日/内景]中, 家宁在对话中表现出什么状态？",他显得不自在，可能感到尴尬或不安。,家宁一旁显得不自在。,Character Understanding,broad_coverage_scene
5,52场夜/内景,李凯在电梯门开时有何动作？,眼皮开了一条缝，偷瞄着家倩,李凯的眼皮开了一条缝，偷瞄着家倩走进电梯,Scene Grounding,broad_coverage_scene
6,63场日/内景,"在[63场日/内景]中, 小芝芝为什么几乎要哭出来？",她因男友突然不理她而感到悲伤和困惑。,小芝芝停止穿制服，几乎要哭出来。为什么他会突然不理我了呢？,Character Understanding,broad_coverage_scene
7,58场A夜/内景,家倩按门铃时的状态如何？,一身湿，手抱公事包，大包小包新买的菜,家倩一身湿，手抱公事包，大包小包新买的菜按门铃。,Scene Grounding,broad_coverage_scene
8,9场日/内景,牧师证道的目的是什么？,帮助教友面对挫折时保持喜乐与平安,有喜乐与平安来面对挫折。,Causal-Motivational Reasoning,broad_coverage_scene
9,58场A夜/内景,雷蒙如何回应家倩的出现？,开门后靠上前去亲家倩脸颊，她却把嘴唇送上,雷蒙靠上前去亲家倩脸颊，她却把嘴唇送上……,Scene Grounding,broad_coverage_scene
10,9场日/内景,基督徒与世不同的原因是什么？,有永的盼望和靠着上帝的能力与智慧,基督徒与世不同的地，不仅在于我们有永的盼望，同时在今天也可以靠着上帝，有能力与智慧来克服困难。,Causal-Motivational Reasoning,broad_coverage_scene
11,31场夜/外景,"在[31场夜/外景]中, 珊珊拿着什么漫画？",小阿姨画的朱爷爷的漫画,珊珊：妈妈，你看，小阿姨画的朱爷爷。,Scene Grounding,broad_coverage_scene
12,45场,‘手脱白’在文中指什么？,右肩习惯性脱臼,我右肩习惯性脱臼。,Scene Grounding,broad_coverage_scene
13,17场傍晚/外景,家珍不希望别人喜欢她仅因为什么？,声音,家珍：我不希望家喜欢我只是因为我的声……,Character Understanding,broad_coverage_scene
14,60场夜/内景,老温倒地时有何具体表现？,眉头紧蹙后突然碰地倒下,老温眉头紧蹙，突然一下子“碰”的倒在地上……,Scene Grounding,broad_coverage_scene
15,66场夜/内景,"在[66场夜/内景]中, 李凯现在的情绪状态如何？",感到累且觉得工作无聊,可能我就是累了。觉得这些工作有多无聊，多没有意义,Character Understanding,broad_coverage_scene
16,63场夜/内景,"在[63场夜/内景]中, 老朱在病房中的表现如何？",哆嗦扣毛衣扣子，苍白、无助,老朱正哆嗦扣着毛衣的扣子，苍白、无助,Character Understanding,broad_coverage_scene
17,63场夜/内景,"在[63场夜/内景]中, 老温在病房中的状态如何？",气弱微喘，身体虚弱,老温发出气弱微喘的笑声,Character Understanding,broad_coverage_scene
