id,related_scenes,question,answer,related_context,question_type,question_source
1,60、INT. KITCHEN - MORNING,Why are Japanese relief workers staging a desperate effort?,To rescue hundreds of people stranded by a tidal wave.,Japanese relief workers are staging a desperate effort to rescue hundreds of people stranded by a freak tidal wave.,Causal-Motivational Reasoning,broad_coverage_scene
2,17、INT. SMALL WONDER DAY CARE - SAME TIME,"In [17、INT. SMALL WONDER DAY CARE - SAME TIME], What is Grace's emotional state?",Concerned,She's concerned.,Character Understanding,broad_coverage_scene
3,12、INT. HALLWAY - MOMENTS LATER,"In [12、INT. HALLWAY - MOMENTS LATER], What is Bruce's emotional state when snubbed by Susan?",Bruce feels embarrassed.,Bruce blanches at this obvious snubbing.,Character Understanding,broad_coverage_scene
4,18、INT. STUDIO CONTROL ROOM - CONTINUOUS,"In [18、INT. STUDIO CONTROL ROOM - CONTINUOUS], What is Bruce's physical condition?",Frozen solid,CONSOLE OPERATOR Frozen solid.,Character Understanding,broad_coverage_scene
5,7、EXT. SMALL WONDERS DAY CARE - MORNING,What causes Bruce's reluctance to donate blood?,His belief that blood is stockpiled in warehouses,They stockpile that stuff. They have an endless supply frozen in a warehouse somewhere then tell everyone there's a shortage.,Causal-Motivational Reasoning,broad_coverage_scene
6,39、INT. BATHROOM,What is written on the note stuck in the bathroom mirror?,I LOVE YOU. WE NEED TO TALK. Grace,A note is stuck in the bathroom mirror... The note simply says: 'I LOVE YOU. WE NEED TO TALK. Grace',Scene Grounding,broad_coverage_scene
7,28、EXT. NIAGARA FALLS - CONTINUOUS,What does Bruce suggest might be the reason he didn't get the anchor job?,"His hair, teeth, or the erosion of his life's bedrock","BRUCE: Do you think it's my hair? Maybe my teeth aren't white enough? Or like the great falls, is the bedrock of my life slowly eroding...",Character Understanding,broad_coverage_scene
8,27、INT. SMALL .WONDERS DAY CARE - CONTINUOUS,What does Grace say about the situation?,This isn't happening. This isn't happening...,GRACE This isn't happening. This isn't happening...,Character Understanding,broad_coverage_scene
9,32、INT. STUDIO CONTROL ROOM - .CONTINUOUS,What action does Susan Ortega perform in the scene?,Stares frozen blankly into camera,Susan Ortega stares frozen blankly into camera.,Scene Grounding,broad_coverage_scene
10,16、EXT. NIAGARA FALLS - CONTINUOUS,"In [16、EXT. NIAGARA FALLS - CONTINUOUS], What is Bruce's emotional state?",Numb,"He stares into camera, numb.",Character Understanding,broad_coverage_scene
11,10、INT. NEWSROOM - DAY,"In [10、INT. NEWSROOM - DAY], What emotional state does Bruce display when tasting the quiche?",Exasperated,Bruce feigns liking it with exasperation.,Character Understanding,broad_coverage_scene
12,15、EXT. NIAGARA FALLS - MAID OF THE MIST BOAT - DAY,"In [15、EXT. NIAGARA FALLS - MAID OF THE MIST BOAT - DAY], What is Bruce's emotional state when he learns about Evan Baxter?",Shocked and pale,His FACE GOES WHITE. He stands in shock.,Character Understanding,broad_coverage_scene
13,7、EXT. SMALL WONDERS DAY CARE - MORNING,Why does Grace place prayer beads on the mirror?,"To keep Bruce safe, as the kids made them",Prayer beads. The kids made 'em. Keep you safe.,Causal-Motivational Reasoning,broad_coverage_scene
14,47、EXT. CITY STREETS,What does Bruce's car do when it peels out?,"Peels out, races through traffic, dodging and passing cars right and left.","PEELS OUT, races through traffic, dodging and passing cars right and left.",Scene Grounding,broad_coverage_scene
15,47、EXT. CITY STREETS,What actions do the pit crew members perform on Bruce's car?,"Jacks up the car, slaps on HUGE MAG TIRES, gases him up.","jacks up his car, slaps on HUGE MAG TIRES, gases him up, etc.",Scene Grounding,broad_coverage_scene
