id,related_scenes,question,answer,related_context,question_type,question_source
1,22、EXT. DESERT - DAY,What does Archie believe about the art of war?,It is a stratagem to give life to many by killing the evil perpetrated by a few.,"ARCHIE GATES: 'What is the art of war, because it is not for killing people, it's a stratagem to give life to many by killing the evil perpetrated by a few'",Character Understanding,broad_coverage_scene
2,5、EXT. IRAQI DESERT - DAY,Why was the Iraqi officer forcibly subdued?,He refused to disrobe as ordered.,"The Officer does not move, Troy punches his head once. Vig and Walter forcibly pull the Iraqi Officer's pants off.",Causal-Motivational Reasoning,broad_coverage_scene
3,4、INT. LARGE ARMY TENT - NIGHT,What does Captain Van Meter say about the beer?,"Goddamn it, where the fuck did this beer come from we gotta take more Iraqis prisoner tomorrow.","CAPTAIN VAN METER Goddamn it, where the fuck did this beer come from we gotta take more Iraqis prisoner tomorrow.",Character Understanding,broad_coverage_scene
4,14、EXT. DESERT - DAY - HIGH WIDE SHOT,Why are the Iraqi guards stunned when Archie presents the document?,Because Archie presents orders from President Bush,"Orders from President Bush, step aside",Causal-Motivational Reasoning,broad_coverage_scene
5,30、EXT. FRONT OF BUNKER TWO - DAY,What does Vig say when the Shiites encircle the guards?,Don't start this shit again.,VIG Don't start this shit again.,Character Understanding,broad_coverage_scene
6,12、EXT. DESERT DAY,What is the meaning of 'violence of action' in the passage?,"A tactic in special operations where fast, decisive movement freezes guards without firing shots.","When we pull up to the bunker, the approach is something called violence of action, which is standard in special operations. It means your movement is so fast and decisive that the guards are frozen and we haven't fired a single shot.",Scene Grounding,broad_coverage_scene
7,31、INT. BUNKER NUMBER TWO - DAY,What does the Iraqi Captain say about Saddam's reaction to his situation?,"It's my ass, donkey dick, Saddam will shoot me dead.","IRAQI CAPTAIN It's my ass, donkey dick, Saddam will shoot me dead.",Character Understanding,broad_coverage_scene
8,45、EXT. BUNKER NUMBER TWO - DAY,Describe the Shiite boy's appearance and location during the sniper incident.,A Shiite boy with an old rifle is in the third floor window of a small stone building.,WHIP PAN TO a Shiite boy with an old rifle in the third floor window of a small stone building.,Scene Grounding,broad_coverage_scene
9,19、EXT. BUNKER - DAY,"In [19、EXT. BUNKER - DAY], What is Vig's emotional state?",Terrified,Vig looks terrified as the crowd scatters,Character Understanding,broad_coverage_scene
10,21、EXT. DESERT MARSH - DAY,"In [21、EXT. DESERT MARSH - DAY], What is Bill Smithson's emotional state?",Frustrated and bored,"This is boring, I already did this damn story, goddamn it, where the hell is the gold?",Character Understanding,broad_coverage_scene
11,40、EXT. BUNKER NUMBER TWO - DAY,When is the blood on the Iraqi soldier's hands shown?,After the soldiers tackle and pummel the Shiites.,Shiites run past throwing rocks at Iraqi soldiers 6 & 7 who tackle and pummel them to the ground. CLOSE UP: BLOOD on the Iraqi Soldier's knuckles and wrists.,Temporal Reasoning,broad_coverage_scene
