id,related_scenes,question,answer,related_context,question_type,question_source
1,16、EXT. MONASTERY SCHOOL - CONTINUOUS,What does Carter instruct the students to do?,Start practicing the LAPD choke hold.,CARTER: 'And that's how you use the LAPD choke hold. Now start practicing...',Character Understanding,broad_coverage_scene
2,1、EXT. HONG KONG SKYLINE - ESTABLISHING,What does 'East meets West' refer to in the passage?,The city's role as a meeting point between Eastern and Western cultures for five and a half million people daily.,"Skyscrapers sit like watchtowers over the city, where East meets West for five and a half million people a day.",Scene Grounding,broad_coverage_scene
3,23、INT. LEE'S OFFICE - DAY,"In [23、INT. LEE'S OFFICE - DAY], What is Carter's behavioral state when he confronts Lee?",Confrontational and accusatory,Carter challenges Lee's choices and accuses him of being 'pathetic',Character Understanding,broad_coverage_scene
4,8、INT. RAVEN CLUB - CONTINUOUS,What does Carter claim about his status in the bar?,"I'm a star, Lee. A god to these people!","CARTER Are you kidding, they love me. I'm a star, Lee. A god to these people!",Character Understanding,broad_coverage_scene
5,47、EXT. YACHT - STERN - CONTINUOUS,When do Lee and Carter run to the stern?,At the same time as Hu Li gets away in the speed boat,Lee and Carter run up to the stern at the same time -- watching helplessly as Hu Li gets away in the speed boat,Temporal Reasoning,broad_coverage_scene
6,32、INT. TAXI - EVENING,"In [32、INT. TAXI - EVENING], What is Carter's emotional state when he orders the Cab Driver?","Urgent and threatening, demanding the driver to follow the limo.",CARTER (loud) Follow that limo. ... drive the car or I will kill you!,Character Understanding,broad_coverage_scene
7,45、INT. SHIP'S HALLWAY - CONTINUOUS,What happens immediately after Carter challenges Hu Li?,Hu Li savages Carter with a series of punishing blows.,Hu Li savages Carter with a series of punishing blows.,Temporal Reasoning,broad_coverage_scene
8,39、INT. SHIP'S HALLWAY - NIGHT,What does Lee claim about Ricky Tan?,He killed a detective today and isn't getting away.,LEE: 'He killed a detective today and he's not getting away with it.',Character Understanding,broad_coverage_scene
9,7、INT. RAVEN CLUB - BACK HALL - NIGHT,What does Carter say in his voiceover?,"Get closer to my body now. And just love me, till you don't know how...","CARTER (V.O.) Get closer to my body now. And just love me, till you don't know how...",Character Understanding,broad_coverage_scene
10,8、INT. RAVEN CLUB - CONTINUOUS,What does Carter say about Lee's honesty?,I knew you were lying.,CARTER I knew you were lying.,Character Understanding,broad_coverage_scene
11,13、INT. LEE'S UNMARKED POLICE CAR - LATER THAT NIGHT,What caused the deaths of the two American translators?,The explosion at the American Embassy.,LEE: 'There was an explosion at the American Embassy today -- two American translators were killed.',Causal-Motivational Reasoning,broad_coverage_scene
12,49、INT. 747 PASSENGER COMPARTMENT,When did Steven Reign order Hu Li around?,Just before Ricky got smoked,He was on Ricky Tan's boat ordering Hu Li around just before Ricky got smoked,Temporal Reasoning,broad_coverage_scene
13,42、INT. RICKY TAN'S YACHT - MAIN CABIN - NIGHT,What does 'GUNSHOTS' refer to in the passage?,The sound of gunfire echoing from the deck above.,Reactions from the crowd as GUNSHOTS echo from the deck above.,Scene Grounding,broad_coverage_scene
14,13、INT. LEE'S UNMARKED POLICE CAR - LATER THAT NIGHT,Why couldn't Lee take Carter home?,There was an explosion at the American Embassy.,LEE: 'No time. There was an explosion at the American Embassy today -- two American translators were killed.',Causal-Motivational Reasoning,broad_coverage_scene
15,23、INT. LEE'S OFFICE - DAY,"In [23、INT. LEE'S OFFICE - DAY], What is Lee's emotional state during his argument with Carter?",Angry and frustrated,Lee shouts 'Stop! I'm sick of your bullshit!' and slams the door,Character Understanding,broad_coverage_scene
16,26、INT. CAPTAIN DIEL'S OFFICE - LAPD HEADQUARTERS - DAY,"In [26、INT. CAPTAIN DIEL'S OFFICE - LAPD HEADQUARTERS - DAY], What is Carter's behavioral state during the conversation?",He is playful and humorous.,He jokes about dinner vs. diner and mentions biscuits and gravy.,Character Understanding,broad_coverage_scene
17,28、INT. HONG KONG POLICE STATION - BULLPEN/LEE'S OFFICE - DAY,"In [28、INT. HONG KONG POLICE STATION - BULLPEN/LEE'S OFFICE - DAY], What action does Lee take despite the danger?",Pushes through the crowd of smoke and fire,Lee pushes through the crowd -- it's all smoke and fire,Character Understanding,broad_coverage_scene
18,39、INT. SHIP'S HALLWAY - NIGHT,What does Carter say about Detective Yu?,He denies knowing him.,CARTER: 'Detective Yu? Never met him.',Character Understanding,broad_coverage_scene
19,43、INT. SHIP'S HALLWAY - CONTINUOUS,When does Carter trip Hu Li?,After he runs to the sound of the gunshot,"It's Carter, who ran to the sound of the gunshot, and TRIPPED Hu Li with his leg.",Temporal Reasoning,broad_coverage_scene
20,31、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON,"In [31、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON], What is Carter's emotional state after seeing Ricky Tan?",Determined,Carter has a determined look on his face.,Character Understanding,broad_coverage_scene
21,18、INT. HEAVEN ON EARTH MASSAGE PARLOR - CONTINUOUS,Why does the hostess lead Carter to the hidden sliding door after he shows his Platinum AmEx card?,"The hostess leads Carter to the hidden sliding door because he demonstrates his ability to pay by showing his Platinum AmEx card, which indicates he is willing and able to afford the premium services offered.","Carter holds up a Platinum AmEx card and says he never leaves home without it. He tells Lee the massage is on him. The hostess takes Carter by the arm and leads him to a hidden sliding door, which she opens to reveal twenty beautiful women.",Causal-Motivational Reasoning,broad_coverage_scene
22,12、EXT. ROOF - CONTINUOUS,What happens to the bamboo pole after Lee and Carter hang from it?,"The bamboo pole bends under their weight, cracks, and then snaps.","The pole bends under their weight... The pole cracks and starts to give way... The bamboo groans, then snaps.",Temporal Reasoning,broad_coverage_scene
23,12、EXT. ROOF - CONTINUOUS | 11、EXT. HONG KONG STREET - NIGHT | 29、EXT. HONG KONG STREET - DAY,What does Carter state about his situation when he is on the roof and after being attacked by Hu Li?,"Carter does not state anything about his situation verbally; his actions indicate he is responding to immediate danger, but no spoken statements are reported.","The passage describes Carter shouting for everyone to freeze upon emerging on the roof, but after being attacked by Hu Li and falling, there is no mention of him stating anything about his situation.",Character Understanding,broad_coverage_event_chain
24,34、INT. CHIN'S OFFICE - CONTINUOUS | 49、INT. 747 PASSENGER COMPARTMENT | 50、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,Why does Carter believe Steven Reign is involved in the crime associated with Ricky Tan's boat?,"Carter believes Steven Reign is involved because he was seen giving orders to Hu Li on Ricky Tan's boat before the shooting and remained unusually calm during the gunfire, which Carter interprets as suspicious behavior consistent with his 'Rich White Man' theory.","Carter points to Steven Reign as their suspect, recalling that Reign was on Ricky Tan's boat giving orders to Hu Li just before the shooting, and explains that Reign remained unusually calm during the gunfire, unlike most white people who would hide or scream in panic.",Causal-Motivational Reasoning,broad_coverage_event_chain
