id,related_scenes,question,answer,related_context,question_type,question_source
1,24、EXT. STREET - ARMORED CAR,"In [24、EXT. STREET - ARMORED CAR], What is Guard Two's behavioral state according to the passage?",Arrogant and concerned with masculine pride.,Guard Two turns and looks at him arrogantly - more concerned with his masculine pride than his safety. He's a stupid man.,Character Understanding,broad_coverage_scene
2,3、EXT. R & C CONSTRUCTION SUPPLIES - ON CHRIS - DAY,Why is Chris on the streets in 1988?,He was released from San Quentin Penitentiary.,Chris and McCauley were cellmates in San Quentin Penitentiary from 1984 to . Chris hit the streets in 1988.,Causal-Motivational Reasoning,broad_coverage_scene
3,67、INT. ROOM 18 - WIDE - DAY,How does Neil physically confront Charlene in the corner?,Neil grabs the lower part of her face in one hand with his face inches from hers.,Neil grabs the whole lower part of her face in one hand. His face is inches from hers.,Scene Grounding,broad_coverage_scene
4,"55、INT. ROBERT'S COFFEE SHOP, KITCHEN - BREEDAN - DAY",What does Solenko demand from Breedan?,25% of his salary under the table and mentions Grierson.,SOLENKO (shouts) You kick back 25% of your salary to me under the table. Grierson your parole officer?,Character Understanding,broad_coverage_scene
5,66、EXT. ROOM 18 - WIDE,What does Charlene do when she opens the door?,"Closes her eyes, resigned to doom.","She closes her eyes, resigned to doom.",Scene Grounding,broad_coverage_scene
6,56、INT. XYZ DISCOUNT APPLIANCES BACK OFFICE - JOE CUZOMANO -,What does Cuzomano say about the person who brought him Armani suits?,He didn't know they were knockoffs and calls him a schmuck.,CUZOMANO: One brings me a container of Armani suits? He didn't know they were knockoffs. Schmuck stole knockoffs.,Character Understanding,broad_coverage_scene
7,"51、EXT. TRAILER COURT, PAY PHONE - NATE - DAY",What does Nate say about the merch being unknown?,Nobody knew the merch was yours or they would have respected it.,Nobody knew the merch was yours or they would have respected it.,Character Understanding,broad_coverage_scene
8,49、INT. ALBERT TORENA'S APARTMENT - ALBERT TORENA - DAY,What does Albert claim about his activities last night?,He claims he was hitting up Los vatos and generating leads as a dancer.,"ALBERT I was all night hitting up Los vatos like one of those flamenco matador guys. Cuttin' in real smooth. Generating leads and shit. I'm a dancer, man!",Character Understanding,broad_coverage_scene
9,43、INT. HANNA'S CAR TRAVELLING - HANNA - NIGHT,Why did Schwartz check the surveillance tapes?,To find information about the stolen ambulance.,Schwartz went through the indexes on recent surveillance tapes? No armored cars. No witnesses on who stole the ambulance.,Causal-Motivational Reasoning,broad_coverage_scene
10,22、EXT. STREET - VEIL,"In [22、EXT. STREET - VEIL], What action does Chris perform after cutting the 10"" circle?",Heaves the drill aside and swings up his shotgun.,"Chris heaves the drill aside, steps away, swings up his shotgun as...",Character Understanding,broad_coverage_scene
11,"52、INT. MALIBU SECURITIES, VAN ZANT OFFICE - VAN ZANT - DAY",What does Van Zant say about involving extra people?,He doesn't want to involve extra people.,VAN ZANT (into phone) I don't want to involve extra people.,Character Understanding,broad_coverage_scene
