movie_id,title,release_year,word_count,num_scenes,genre_1,genre_2,genre_3,script_url
endd6934919fe24835b367651ac58b0d6d,Crank (film),2006,27546,136,Action,Thriller,Crime,http://www.imsdb.com/scripts/Crank.html
en225b7ddc26e6473e8954b591202296c3,Bull Durham,1988,29472,128,Comedy,Romance,Sports,http://www.imsdb.com/scripts/Bull-Durham.html
en6277019821914a26ba881ef5d254969f,The Fighter,2010,32202,18,Sports,Sports,Drama,http://www.imsdb.com/scripts/Fighter%2C-The.html
en22e0d0a29c244555bf8d2335d772acce,Star Trek: Nemesis,2002,26090,294,Science Fiction,Adventure,Action,http://www.imsdb.com/scripts/Star-Trek-Nemesis.html
ene1511ec4987a483f84d938257332734c,The Doors (film),1991,46163,131,Biography,Music,Drama,http://www.imsdb.com/scripts/Doors%2C-The.html
enf7e99e169f8b4820b95496eadb014785,Zero Dark Thirty,2012,26698,229,War,Drama,Thriller,http://www.imsdb.com/scripts/Zero-Dark-Thirty.html
en2ffef63afdf84c25bc56d9fb7830fa7d,Up in the Air (1940 film),1940,25286,150,Comedy,Thriller,Music,http://www.imsdb.com/scripts/Up-in-the-Air.html
ene827f5ab63c84c2eb5d32f6d149e9b5d,Cast Away,2000,32968,600,Drama,Adventure,Survival,http://www.imsdb.com/scripts/Cast-Away.html
en5901146f32f0412995212ecc9f7e694c,Being There,1979,31611,312,Comedy,Drama,Comedy,http://www.imsdb.com/scripts/Being-There.html
en376eec0289f24ce09cb42185aa13f081,127 Hours,2010,22613,217,Drama,Adventure,,http://www.imsdb.com/scripts/127-Hours.html
en049957b3c0b54085baddbec23e00506c,Birthday Girl,2001,21429,177,Romance,Crime,Comedy,http://www.imsdb.com/scripts/Birthday-Girl.html
en44fd740e98fd44c186677b99ad139c57,Fargo (film),1996,21290,44,Crime,Comedy,Thriller,http://www.imsdb.com/scripts/Fargo.html
en71e5903530494ef792e87e8915c657c4,"Crouching Tiger, Hidden Dragon",2000,14138,107,Action,Action,Romance,http://www.imsdb.com/scripts/Crouching-Tiger%2C-Hidden-Dragon.html
ene1433f380b2d4da7b5a3781c6512968f,Snow White and the Huntsman,2012,31960,142,Fantasy,Adventure,Action,http://www.imsdb.com/scripts/Snow-White-and-the-Huntsman.html
en17793caa790647fcb4e8ee9221a2a43a,Drag Me to Hell,2009,21460,75,Horror,Thriller,Supernatural,http://www.imsdb.com/scripts/Drag-Me-to-Hell.html
en4cd62c1f5ee54b0aac31ae761c4dbfca,Crime Spree,2003,29919,211,Crime,Comedy,Action,http://www.imsdb.com/scripts/Crime-Spree.html
