movie_id,title,release_year,word_count,num_scenes,genre_1,genre_2,genre_3,script_url
ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,一代宗师,2013,12702,68,Action,Martial Arts,Biography,https://www.sohu.com/a/258683254_285386
chc95f46bf2d0ae423702d26a7fcbe510f620879ce,三轮车夫,1995,25456,94,Drama,Crime,Social,
ch4d39a27d2dbb2057f23eff0c5ccbfc3501a343a3,上海浮生记,1984,32775,67,Drama,War,Music,
ch65a92838a9e782e6aae93c01ec0de618faca113f,乘风破浪,2017,23026,62,Comedy,Drama,Fantasy,https://www.sohu.com/a/298609995_662944
chdd7e4ae2272bbacd475645b1e574deb4eb829567,从你的全世界路过,2016,26042,96,Romance,Drama,Comedy,https://www.bilibili.com/read/cv8920605/
ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,卧虎藏龙,2000,33524,136,Action,Martial Arts,Romance,https://www.sohu.com/a/207577202_656990
cha9b2e0b377b122037bc5bcbe4ed13155ee1ea4dd,唐人街探案,2015,34842,139,Comedy,Crime,Mystery,https://max.book118.com/html/2021/0415/7020025063003115.shtm
ch264d4181722e2f969e974d0f57ae7dea83d4bef4,夏洛特烦恼,2015,37040,143,Comedy,Fantasy,Romance,https://www.juben.pro/writing/11-8853-3-ccontent-hp.html
ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,大幻术师,2020,22114,57,Action,Fantasy,Mystery,https://www.scribd.com/document/865966797/%E5%A4%A7%E5%B9%BB%E6%9C%AF%E5%B8%88
ch0322a858c8bac81427599b9ce19beab3dfdaec4a,大话西游,1995,28382,15,Comedy,Fantasy,Romance,https://www.juben.pro/writing/4-25-2-ccontent-hp.html
chc2f31bb0076a9af2ee30ece37559865c58b9b2ad,嫁妆一牛车,1984,50739,127,Drama,Family,Art-house,
ch7f2f1c3b1d9899f8dea12e1b14d136c1c64f0e8f,小武,1998,25038,84,Drama,Crime,Social,https://www.sohu.com/a/277207282_285386
ch3e4c8f9bd713a665352a147555ff68bf302935cf,山中传奇,1979,20723,12,Horror,Fantasy,,
ch3a57b2f5c710ef650faa2af0210b76d702c456a7,山楂树之恋,2010,18558,97,Romance,Drama,History,https://www.sohu.com/a/749035142_121870883
che5a4fc62d8f770710a95c6990e35c81c42866aa6,师傅,2015,15879,88,Action,Martial Arts,Drama,
chad83aa5c1d76c9068cb7f2693704827931d91b36,悲情城市,1989,39613,107,History,Drama,Family,https://www.aisixiang.com/data/99782.html
ch28bd3f170039ebe85275b2d5a4d26c1bb8c8f2f0,我不是潘金莲,2016,25488,74,Drama,Comedy,Social,https://www.juben.pro/writing/6-16023.html
ch48a3d3de9f887c24c526ff5db17160702612afcb,我不是药神,2018,20744,130,Drama,Social,Comedy,https://www.juben.pro/writing/11-20041-3-ccontent-hp.html
chae00e2dc4c421582cf30f3c1560de30f5db40b72,我的少女时代,2015,26996,108,Romance,Youth,Comedy,
ch9c01ad091190fa199992e11c4db3753ed009c3b3,手机,2003,27785,89,Comedy,Drama,Social,
chb8e00f0278050f26b72df848231e592f51534361,暴雪将至,2017,16087,61,Crime,Mystery,Drama,
