id,related_scenes,question,answer,related_context,question_type,question_source
1,1、EXT. JOHN'S STREET - DAY,What does John believe about the person he refers to?,He believes the person has a sense of humor and can communicate on the same level.,Someone with a sense of humour. Someone you can communicate with on the same level.,Character Understanding,broad_coverage_scene
2,19、INT. SPARE BEDROOM - DAY,Why did John feel stupid after demonstrating the lamp?,"He switched it on and off repeatedly, leading to his embarrassment.","he switches it on, off, on, off, and then feels stupid",Causal-Motivational Reasoning,broad_coverage_scene
3,24、INT. KITCHEN - DAY,"In [24、INT. KITCHEN - DAY], What is John's behavioral state when Nadia attempts to place the ring on his finger?",He resists then allows it.,He automatically yanks it away... he allows Nadia to push the ring onto his ring finger.,Character Understanding,broad_coverage_scene
4,24、INT. KITCHEN - DAY,"In [24、INT. KITCHEN - DAY], What is John's emotional state when he refuses the ring?",He is conflicted and hesitant.,I can't take this. I'm not really a ring guy.,Character Understanding,broad_coverage_scene
5,27、INT. BEDROOM - DAY,Why does John check the landing after hearing the noises?,To confirm the coast is clear.,He squeezes his door open and peers down the dark landing. The coast is clear.,Causal-Motivational Reasoning,broad_coverage_scene
6,50、INT. BRANCH MANAGER'S OFFICE - DAY,What does 'first class communication skills' refer to in the passage?,Effective verbal communication in a delicate customer situation,On one occasion John showed first class communication skills in a delicate customer situation.,Scene Grounding,broad_coverage_scene
7,"48、INT. NATWEST BANK, ST ALBANS - DAY",Why does John develop alternative solutions?,To resolve or minimize problems before they grow larger.,VOICE OVER: He usually resolves or minimises most problems before they grow into larger problems...,Causal-Motivational Reasoning,broad_coverage_scene
8,22、INT. SPARE ROOM / LANDING - DAY,Why does John hold the saucer under the ash?,To catch the ash as he blows it,"Holding the saucer under the ash, he blows on it gently.",Causal-Motivational Reasoning,broad_coverage_scene
9,26、INT. LOUNGE / STAIRS - NIGHT,"In [26、INT. LOUNGE / STAIRS - NIGHT], What is John's behavioral state when he is in the doorway?",Hovering,"John watches her, hovering in the doorway of the darkened lounge.",Character Understanding,broad_coverage_scene
10,25、INT. LOUNGE - NIGHT,"In [25、INT. LOUNGE - NIGHT], What is Nadia knitting when John leaves?",A half-finished jumper,"Nadia is knitting a half-finished jumper, blood red.",Character Understanding,broad_coverage_scene
11,37、INT. JOHN'S HOUSE - DAY,"In [37、INT. JOHN'S HOUSE - DAY], What message is stored on the answer machine?",You have reached From Russia With Love. If you are interested...,ANSWER MACHINE You have reached From Russia With Love. If you are interested...,Scene Grounding,broad_coverage_scene
12,3、EXT. GARDEN - DAY,"In [3、EXT. GARDEN - DAY], What is John's current behavioral state?",Encircling his house and leaving a thick trail of yellow powder.,"John encircles his house, leaving a thick trail of yellow powder behind him.",Character Understanding,broad_coverage_scene
13,13、INT. / EXT. JOHN'S CAR (MOVING) - DAY,When does John panic?,When Nadia vomits,Suddenly she winds the window down and vomits out of the speeding car. John panics...,Temporal Reasoning,broad_coverage_scene
14,29、INT. BEDROOM - NIGHT,What caused John to moan during the encounter?,She unzipped his fly,She unzips his fly. He lets out a moan,Causal-Motivational Reasoning,broad_coverage_scene
15,52、INT. LIVING ROOM - DAY,What does the BRANCH MANAGER say about the man's ability to handle customer situations?,He is adequate at resolving difficult or emotional customer situations.,BRANCH MANAGER (V.O.) He is adequate at resolving difficult or emotional customer situations...,Character Understanding,broad_coverage_scene
16,2、INT. BEDROOM - DAY,"In [2、INT. BEDROOM - DAY], What does John say about people turning thirty?",I think that by the time most people turn thirty they know where they're going.,JOHN (V.O.) I think that by the time most people turn thirty they know where they're going.,Character Understanding,broad_coverage_scene
17,34、EXT. JOHN'S GARDEN - DAY,What causes the crows to scatter?,John's sprinting down his lawn,"John sprints down his lawn, scattering the big black crows eating his garden.",Causal-Motivational Reasoning,broad_coverage_scene
18,45、INT. NADIA'S ROOM - DAY,How are John and Nadia's eyes described during the scene?,They don't take their eyes off each other,They don't take their eyes off each other.,Scene Grounding,broad_coverage_scene
19,57、INT. BRANCH MANAGER'S OFFICE - DAY,What does John say after the report is finished?,Thank you -- I think that's very fair.,JOHN Thank you -- I think that's very fair.,Character Understanding,broad_coverage_scene
20,23、INT. KITCHEN - DAY,What action does Nadia perform immediately after entering the kitchen?,takes the spoon from John,"Nadia walks right into the kitchen. She's changed, jeans and a tee shirt. Nadia takes the spoon from him",Scene Grounding,broad_coverage_scene
21,25、INT. LOUNGE - NIGHT | 43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT,What does Nadia do immediately after seeing John's reaction during their physical encounter?,"She lets go, turns, and walks out of the bedroom without saying anything.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",Character Understanding,broad_coverage_event_chain
22,29、INT. BEDROOM - NIGHT,Why is John unable to speak when he tries to tell Nadia to leave?,John is unable to speak because Nadia has placed her hand across his mouth.,His eyes widen but he can't speak—she has placed her hand across his mouth.,Causal-Motivational Reasoning,broad_coverage_scene
23,24、INT. KITCHEN - DAY | 43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT | 19、INT. SPARE BEDROOM - DAY,What does John say after Nadia places the ring on his finger?,He says that it is no big deal and thanks her multiple times.,"He says, 'Okay. No big deal. Thank you. Yes thanks. Thank you.'",Character Understanding,broad_coverage_event_chain
24,43、INT. NADIA'S BEDROOM - DAY | 45、INT. NADIA'S ROOM - DAY | 29、INT. BEDROOM - NIGHT,Why does Nadia leave the bedroom without speaking?,"Nadia leaves the bedroom without speaking after she sees that John has reached climax and she releases him, indicating the intimate moment has ended.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",Causal-Motivational Reasoning,broad_coverage_event_chain
25,43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT | 45、INT. NADIA'S ROOM - DAY | 22、INT. SPARE ROOM / LANDING - DAY,What does Nadia do immediately after the sexual encounter with John ends?,"Nadia remains lying with her back turned and arms folded, keeping her eyes wide open and watching John as he leaves the room.","Nadia, still lying with her back turned and arms folded, keeps her eyes wide open, watching his departure without moving.",Character Understanding,broad_coverage_event_chain
26,23、INT. KITCHEN - DAY | 24、INT. KITCHEN - DAY,What does John state about his feelings toward accepting the ring at first?,"John states that he cannot take the ring and says he is not a ring person, indicating his initial reluctance to accept it.","He says he can’t take it and puts the ring back, closing the box. He refuses again, saying he’s not a ring person.",Character Understanding,broad_coverage_event_chain
27,43、INT. NADIA'S BEDROOM - DAY | 29、INT. BEDROOM - NIGHT,Why does Nadia leave the bedroom without speaking after being intimate with John?,"Nadia leaves because she notices John's physical reaction and loses interest, choosing to end the encounter silently.","She looks down, sees what has happened, and lets go. Without a word, she turns and walks out of the bedroom, closing the door behind her.",Causal-Motivational Reasoning,broad_coverage_event_chain
