id,related_scenes,question,answer,related_context,question_type,question_source
1,9、INT THE KITTREDGE.'S LIVING ROOM NIGHT,What does Geoffrey believe about staying in South Africa?,"He believes one must stay to educate black workers, considering their killing a sign of success.",One has to stay there to educate the black workers and we'll know we've been successful when they kill us.,Character Understanding,broad_coverage_scene
2,36、EXT DR. FINE'S BROWNSTONE DAY,Why did Dr. Fine give Paul the keys to the brownstone?,"Under false pretenses, as Paul lied about his identity.","Yes, but under false pretenses. This fucking black kid crack addict comes into my office LYING",Causal-Motivational Reasoning,broad_coverage_scene
3,9、INT THE KITTREDGE.'S LIVING ROOM NIGHT,What does Flan say about Geoffrey's safety?,Flan tells Geoffrey he must move out of South Africa to avoid being killed.,"Geoffrey, you have to move out of South Africa. You'll be killed. Why do you stay in South Africa?",Character Understanding,broad_coverage_scene
4,37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,Why didn't Dr. Fine meet the boy before?,"His mother had custody, and he lived out West. After graduation, she moved west, and he moved east.","DR. FINE: His mother had custody. I lived out West. After he graduated from high school, she moved west. I moved east.",Causal-Motivational Reasoning,broad_coverage_scene
5,29、INT THE MORGAN LIBRARY NIGHT,Why does OUISA want to contact the man's father?,To verify the truth of the story,I wish I knew how to get hold of his father. Just to see if there is any truth in it.,Causal-Motivational Reasoning,broad_coverage_scene
6,36、EXT DR. FINE'S BROWNSTONE DAY,What caused Paul to roll over when the cop appeared?,Because the cop had a gun drawn.,"when the COP appears with the gun, PAUL rolls over on his side out of the chair",Causal-Motivational Reasoning,broad_coverage_scene
7,30、EXT CENTRAL PARK DAWN,What caused Ouisa to scream?,Paul's fall over the window ledge,OUISA screams. PAUL falls over backward into space.,Causal-Motivational Reasoning,broad_coverage_scene
8,19、INT KENNEDY AIRPORT THE GATE,"In [19、INT KENNEDY AIRPORT THE GATE], What is FLAN's emotional state when he and OUISA look at each other?",Amazement,FLAN and OUISA look at each other in amazement.,Character Understanding,broad_coverage_scene
9,30、EXT CENTRAL PARK DAWN,Why did Ouisa open the window?,She heard someone tapping on the window pane,OUISA sits up when SHE hears someone tapping insistently on the window pane.,Causal-Motivational Reasoning,broad_coverage_scene
10,11、INT THE WHITE WALL,What did Paul's father say about his childhood poverty?,"He said, 'so poor they didn't even own dirt.'","PAUL He grew up on Cat Island, ""so poor they didn't even own dirt"" he has said.",Character Understanding,broad_coverage_scene
11,25、INT PRECINCT,"In [25、INT PRECINCT], What emotion does LARKIN express about the incident?",Guilt,We feel so guilty.,Character Understanding,broad_coverage_scene
12,41、EXT ELIOT HOUSE,Why do the parents leave the Harvard building?,Because Woody's wrath drives them out.,"WOODY's wrath grows and grows and drives OUISA and FLAN, indeed all the PARENTS, out of the serene, venerable Harvard building onto the street.",Causal-Motivational Reasoning,broad_coverage_scene
13,5、EXT HENRY HUDSON PARKWAY DAY,What causes FLAN to turn off the tape deck?,He blames Maria Callas for the near-accident.,It's that fucking Maria Callas! Turn that damn thing off!,Causal-Motivational Reasoning,broad_coverage_scene
14,5、EXT HENRY HUDSON PARKWAY DAY,Why does FLAN drive recklessly?,He believes driving calms him.,FLAN (FURIOUS) Driving calms me!,Causal-Motivational Reasoning,broad_coverage_scene
15,37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,What is the common thread linking the group?,Their children went to the same boarding school.,OUISA: All we have in common is our children went to boarding school together.,Causal-Motivational Reasoning,broad_coverage_scene
16,11、INT THE WHITE WALL,What did Paul's father express about his career success?,"He said, ""I still don't fully understand how all that came about.""","PAUL Dad said to me once ""I still don't fully understand how all that came about in the sequence it came about"".",Character Understanding,broad_coverage_scene
17,17、INT JFK THE TERMINAL,"In [17、INT JFK THE TERMINAL], How does Flan react to the suggestion of calling?",Refuses with 'No! We'll call!',FLAN No! We'll call!,Character Understanding,broad_coverage_scene
18,10、INT MILLBROOK CLUB BAR,"In [10、INT MILLBROOK CLUB BAR], What is the condition of Paul's shirt?",Ripped and bloodied,PAUL's shirt front is ripped and bloodied. Fresh blood.,Scene Grounding,broad_coverage_scene
19,21、INT/EXT THE CAR TACONIC PARKWAY DAY,"In [21、INT/EXT THE CAR TACONIC PARKWAY DAY], What is the emotional state of FLAN and OUISA as they drive back?",Composed and pleased,THEY are more composed now than when THEY left - and even pleased.,Character Understanding,broad_coverage_scene
20,34、INT EXAMINING ROOM DAY,What caused Dr. Fine to gain direction and confidence?,The bravery of the matinee idol's films.,"This kid's father - the bravery of his films - had given me a direction, a confidence.",Causal-Motivational Reasoning,broad_coverage_scene
21,35、INT COLLEGE DORM ROOM DAY,Why does Doug accuse his father of being a rotten father?,Because his father gave keys to a stranger and other negative actions.,DOUG... You gave the keys to a stranger... Mom said sleeping with you was like sleeping with a salad...,Causal-Motivational Reasoning,broad_coverage_scene
22,46、INT TRENT CONWAY'S APARTMENT NIGHT,"In [46、INT TRENT CONWAY'S APARTMENT NIGHT], Where does PAUL pace around the room, looking into the address book?",Trent Conway's Apartment,"TRENT CONWAY'S APARTMENT PAUL paces around the room, looking into this book.",Scene Grounding,broad_coverage_scene
23,34、INT EXAMINING ROOM DAY,What caused Dr. Fine's self-hatred and fear?,The death of his grandparents in the war.,"My grandparents were killed in the war. I had this sense of self-hatred, of fear.",Causal-Motivational Reasoning,broad_coverage_scene
24,3、EXT KITTREDGE'S APARTMENT BUILDING 910 FIFTH AVENUE DAY,When does Ouisa offer to drive?,After Flan says he's shaking,FLAN (a statement of fact) I'm shaking. OUISA Then I'll drive.,Temporal Reasoning,broad_coverage_scene
25,1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,What happens when Flan and Ouisa discover the Kandinsky painting is missing?,"Flan and Ouisa become alarmed when they notice the Kandinsky is missing from the wall, as indicated by discoloration on the wallpaper; Ouisa panics and wants to call the police, but Flan finds the painting leaning against a Chippendale chair, and after Ouisa examines both its chaotic and geometric sides, she decides to hang it back with the calm, ordered side facing forward.","Ouisa notices discoloration on the wallpaper and steps closer. The Kandinsky is gone. She cries out, her voice rising in panic, and insists they call the police. Flan scans the room, then spots the painting leaning against a Chippendale chair. He calls out, and Ouisa rushes over. She picks up the canvas, turns it over in her hands, and sees both sides—geometric and chaotic. She hangs it back on the wall, choosing the calm, ordered side to face the room.",Scene Grounding,broad_coverage_scene
26,22、EXT EAST 67TH STREET DAY | 24、INT MORTIMER'S RESTAURANT AFTERNOON | 25、INT PRECINCT | 28、INT THE PRECINCT | 37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,Why does the detective refuse to take action after hearing Flan and Ouisa's account?,The detective refuses to take action because there are no formal charges filed.,"After hearing them out, the detective closes his notebook and says he cannot take action without formal charges.",Causal-Motivational Reasoning,broad_coverage_event_chain
27,"5、EXT HENRY HUDSON PARKWAY DAY | 6、EXT ST PETER'S EPISCOPAL CHURCH LITHGOW, NEW YORK DAY",What does Flan state about driving during the argument after the close call with the truck?,Flan states that driving calms him.,FLAN shouts that driving calms him.,Character Understanding,broad_coverage_event_chain
28,1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,Why do Flan and Ouisa become frightened and begin searching the dark hallway?,"They become frightened because Flan suddenly stops and calls out 'Hello?' in fear, prompting Ouisa to rush to him, and they then move together down the hallway, scanning for someone else in the apartment.","Flan suddenly stops, his face filled with fear, and calls out, 'Hello?' Ouisa rushes to him, terrified, and he pulls her close. They stand together in the dim light, then move slowly down the dark hallway, scanning the shadows, stepping carefully as they search for any sign of someone else in the apartment.",Causal-Motivational Reasoning,broad_coverage_scene
29,34、INT EXAMINING ROOM DAY | 36、EXT DR. FINE'S BROWNSTONE DAY,Why does Dr. Fine demand that the police officer arrest Paul in the brownstone?,"Dr. Fine demands that the officer arrest Paul because he believes Paul broke into the house, even though Paul had the keys.","Dr. Fine demands that the officer arrest Paul, accusing him of breaking and entering, although Paul explains that Dr. Fine gave him the keys to the house.",Causal-Motivational Reasoning,broad_coverage_event_chain
30,8、INT MILLBROOK CLUB DAY | 11、INT THE WHITE WALL,What does Ouisa express about the word 'superfluous' when Flan uses it to describe two million dollars?,Ouisa expresses that she dislikes the word 'superfluous' because she feels the money was needed and that they had welcomed Geoffrey into their home despite not seeing him in years.,"Ouisa interjects sharply when Flan refers to the sum of two million dollars as superfluous. She turns to Connie, saying she hates when he uses that word, then explains they needed the money, hadn’t seen Geoffrey in years, and still welcomed him into their home.",Character Understanding,broad_coverage_event_chain
31,26、INT KITTREDGE'S APARTMENT NIGHT,Why does Kitty suggest going to the police after Flan retrieves the jam from the flower bouquet?,Kitty suggests going to the police because the group is bewildered and uneasy about the unexpected and suspicious presence of the jam in the bouquet left by Paul Poitier.,"After Flan pulls a pot of jam from the bouquet of flowers left by Paul Poitier, the group steps back in bewilderment. Kitty looks at the others and says they should go to the police.",Causal-Motivational Reasoning,broad_coverage_scene
32,29、INT THE MORGAN LIBRARY NIGHT | 40、INT ELIOT HOUSE HARVARD | 41、EXT ELIOT HOUSE | 35、INT COLLEGE DORM ROOM DAY,Why do the children react negatively when their parents suggest investigating the mysterious boy from their high school?,"The children react negatively because they feel their parents are making unfair assumptions about the boy's identity, such as implying he must be gay or involved in drugs, and they perceive the situation as embarrassing, hypocritical, and racially insensitive.","Tess resents the assumption that the boy must be gay, mocks her parents' taste in theater, and calls the situation racist; Doug feels targeted when his father looks at him while discussing drug users and calls the situation humiliating; Ben says it’s pathetic; the children collectively walk out, indicating their disapproval of the parents' approach.",Causal-Motivational Reasoning,broad_coverage_event_chain
33,1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,What does Ouisa state about the possibility of being harmed while asleep?,Ouisa states that they could have been killed in their sleep with their throats slashed.,"Ouisa stands by the window, looking down at Central Park, and speaks in a trembling voice about how they could have been killed in their sleep, their throats slashed.",Character Understanding,broad_coverage_scene
34,3、EXT KITTREDGE'S APARTMENT BUILDING 910 FIFTH AVENUE DAY,What does Flan state about his physical condition as they prepare to leave?,Flan states that he is shaking.,Flan says he is shaking.,Character Understanding,broad_coverage_scene
35,26、INT KITTREDGE'S APARTMENT NIGHT,Why does Kitty suggest going to the police after Flan retrieves the jam from the flower bouquet?,Kitty suggests going to the police because the group is bewildered and uneasy about the unexpected and suspicious presence of the jam in the bouquet left by Paul Poitier.,"After Flan pulls a pot of jam from the bouquet of flowers left by Paul Poitier, the group steps back in bewilderment. Kitty looks at the others and says they should go to the police.",Causal-Motivational Reasoning,broad_coverage_scene
36,25、INT PRECINCT | 28、INT THE PRECINCT | 37、EXT THE STRAND BOOKSTORE 12th STREET AND BROADWAY DAY,When does Flan propose a vote on continuing the investigation?,Flan proposes a vote on continuing the investigation at the Gotham Restaurant.,"At the Gotham Restaurant, Flan turns to the others and proposes a vote on whether to continue pursuing the investigation, no matter what they might discover.",Temporal Reasoning,broad_coverage_event_chain
37,"6、EXT ST PETER'S EPISCOPAL CHURCH LITHGOW, NEW YORK DAY | 11、INT THE WHITE WALL",What does Flan state about Sidney while in bed with Ouisa?,Flan states that there is a god and his name is Sidney.,"Flan whispers that there is a god, and his name is Sidney.",Character Understanding,broad_coverage_event_chain
38,10、INT MILLBROOK CLUB BAR | 11、INT THE WHITE WALL,What does Flan state about the existence of a higher power while in bed with Ouisa?,Flan states that there is a god and his name is Sidney.,"Flan whispers that there is a god, and his name is Sidney.",Character Understanding,broad_coverage_event_chain
39,16、EXT CURBSIDE KENNEDY AIRPORT | 17、INT JFK THE TERMINAL | 25、INT PRECINCT,When does Flan suggest returning home?,Flan suggests returning home after speaking with Kitty and Larkin at Mortimer's Restaurant.,"After speaking with Kitty and Larkin at Mortimer's Restaurant, Flan turns to Ouisa and says it's time to go back to their place.",Temporal Reasoning,broad_coverage_event_chain
40,10、INT MILLBROOK CLUB BAR|11、INT THE WHITE WALL,What do Flan and Ouisa talk to him about regarding their work that sets up their later worries?,Flan and Ouisa discuss art dealing with Paul,"In the scene where Flan and Ouisa show Paul the Cezanne, they sit with him in the living room and talk about how they work as private art dealers.",Narrative Progression,supplementary_cross_scene
41,5、EXT HENRY HUDSON PARKWAY DAY|8、INT MILLBROOK CLUB DAY|14、EXT PINK SKY DAWN,"Which character is portrayed as having a contentious relationship with Ouisa, a close bond with Geoffrey Miller, and a hostile dynamic with Paul?",Flan,"Flan is in a in conflict relationship with Ouisa, is in a close companions relationship with Geoffrey Miller, and is in a ongoing adversaries relationship with Paul.",Role-Relation Continuity,supplementary_cross_scene
42,"6、EXT ST PETER'S EPISCOPAL CHURCH LITHGOW, NEW YORK DAY|14、EXT PINK SKY DAWN|22、EXT EAST 67TH STREET DAY","Which character is Flan's close companion, Paul's mother, and on friendly terms with Larkin?",Ouisa,"Ouisa is in a are close companions relationship with Flan, is in a mother relationship with Paul, and is in a are close acquaintances relationship with Larkin.",Role-Relation Continuity,supplementary_cross_scene
43,40、INT ELIOT HOUSE HARVARD|41、EXT ELIOT HOUSE,What accusation by Doug during the Harvard confrontation causes the focus to shift away from the children's grievances and leads to the parents fleeing the building?,Doug accuses Woody of never supporting him,From Episode unit 2 related events: 'Doug accuses Woody of never supporting him'.,Narrative Progression,supplementary_cross_scene
