id,related_scenes,question,answer,related_context,question_type,question_source
1,19 INT. DUTY ROOM/CORRIDOR/ADMIN. POLICE STATION. NIGHT.,What important object is handed from Berlin to Venables?,Six rolls of film.,Sure he will and six rolls of film are handed across.,Scene Grounding,broad_coverage_scene
2,11 EXT. WORKING FACE. INFILL. GARBAGE DUMP. DAY.,What does Berlin believe about the suicide that indicates it was well planned?,He believes it was well rehearsed because there are three trial cuts before the fatal cut.,"He's well rehearsed .. Cut your own throat, you're nervous about it, tend to hesitate. He's got three trial cuts, lower left side of the neck, before he works up courage for the big one.",Character Understanding,broad_coverage_scene
3,25 INT. CRIME LAB. POLICE STATION. NIGHT.,What is Citrine's emotional state as he questions the connection between the cases and the absence of the body?,"He is skeptical, frustrated, and tense, doubting the case connection and pressing for answers.",CITRINE: I don't see that at all .. I don't know nothing about this 'Jennifer' girl... why's he hidden this one?,Character Understanding,broad_coverage_scene
4,1 INT. COMMUNITY HALL. DAY.,What belief does Berlin express about his current journey compared to his past behavior?,He believes he is not running away this time but moving forward intentionally.,I'm going for it coz this time I know I'm not running away - I'm actually two miles into a 600 mile journey,Character Understanding,broad_coverage_scene
5,48 INT. MERCEDES SEDAN. SHASTA-TRINITY INSTITUTE. DAY.,How does Berlin describe his reason for leaving Los Angeles?,He felt like he'd said sorry in every street and couldn't take another day of it.,I couldn't take another minute of Los Angeles .. Felt like I'd said sorry in every street in the city ..,Character Understanding,broad_coverage_scene
6,47 INT. RESTAURANT/DINER. TRINITY VALLEY. DAY.,"How does Berlin describe his dream about God, and what does God say about prayers in the dream?",God was a nasty-looking little guy who said prayers are like junk mail.,"He said, don't you listen to people's prayers? He said, prayers? Not often. They're Junk Mail.",Character Understanding,broad_coverage_scene
7,72 INT. APARTMENT. INSTITUTE. DAY.,What is the significance of the 'Forget-Me-Nots' in the scene?,"They are part of a surprise dinner setup, symbolizing remembrance.",A pathetic little table with candles and Forget-Me-Nots and can of Diet Coke by his plate.,Causal-Motivational Reasoning,broad_coverage_scene
8,68 INT. OFFICE. POLICE STATION. NIGHT.,What is Berlin's emotional state when Taylor tells him he is in the wrong cabinet?,"Berlin feels humiliated and diminished, as if he is only 2 inches tall.",BERLIN feels about 2 inches tall.,Character Understanding,broad_coverage_scene
9,73 INT. APARTMENT. INSTITUTE. DUSK.,What is Helena's emotional state when she offers to make more coffee?,"She is perceptive and empathetic, responding gently to Berlin's silence.",Coz you hardly said a word since you got here. But you been thinking pretty loud .. I'll make some more coffee.,Character Understanding,broad_coverage_scene
10,73 INT. APARTMENT. INSTITUTE. DUSK.,What does Berlin's hesitation suggest about his emotional state before speaking to Helena?,"He is reluctant and emotionally burdened, avoiding saying something difficult.",But first he's gotta toll her something he doesn't want to hear himself.,Character Understanding,broad_coverage_scene
11,126 INT. INTERROGATION ROOM. POLICE STATION. DAY.,What reason does Berlin give for believing the suspect targeted Miss Robertson?,The suspect feared she was a witness to his crimes and knew he was being investigated.,"BERLIN: Because he reads I'm investigating the disappearance of her friend, & Miss Robertson becomes the focus of his anxiety.",Causal-Motivational Reasoning,broad_coverage_scene
12,118 INT. WAITING AREA. HOSPITAL. NIGHT.,What is the relationship between Citrine's arrival and Berlin's actions?,Citrine's arrival prompts Berlin to surrender his badge and weapon and leave.,Neither say anything because both know what this is about. Berlin stands and hands over his badge... A brief word from Citrine and he turns and walks away.,Causal-Motivational Reasoning,broad_coverage_scene
13,120 EXT. VERANDA. HOUSE. DAWN.,Why does Berlin sit expressionless on the veranda despite the new items around him?,"He is overwhelmed by sorrow, guilt, and regret despite the preparations for happy times.",BERLIN sits in it with shock wearing on. Expressionless of sorrow. Though he suffers every sorrow and guilt and regret there is.,Causal-Motivational Reasoning,broad_coverage_scene
14,120 EXT. VERANDA. HOUSE. DAWN.,What is the relationship between the new items on the veranda and Berlin's emotional state?,"The new items represent hope for happiness, contrasting with Berlin's inner despair.",All new paint and all new things in expectation of happy times. BERLIN sits in it with shock wearing on. Expressionless of sorrow.,Causal-Motivational Reasoning,broad_coverage_scene
15,133 INT. INTERROGATION ROOM. POLICE STATION. DAY.,Why does St ANNE believe Berlin shot his partner a second time?,To make it look like the 'Serial Killer' was responsible.,"17 seconds later, you put another one in his throat .. Isn't that what happened?",Causal-Motivational Reasoning,broad_coverage_scene
