id,related_scenes,question,answer,related_context,question_type,question_source
1,14、INT. BARAGWANATH MORTUARY - DAY,How do the children's bodies appear?,"Some in torn, dirty clothes, others naked, some mutilated, others whole but with small holes and blood","They belong to children, some in torn, dirty clothes, others naked, some mutilated, others whole and seemingly unharmed, as if asleep, until the small, neat hole in temple or chest and the small crust of blood is brought to our attention",Scene Grounding,broad_coverage_scene
2,28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY,What does Gordon believe is necessary for him to have peace?,Knowing how his son died and where he was buried.,Gordon: 'How can I have peace? I must know how my son died...',Character Understanding,broad_coverage_scene
3,28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY,What does Gordon believe could have prevented Jonathan's death?,If someone had heard their concerns.,Gordon: 'If we had... if someone heard what we had to say this would not have happened.',Character Understanding,broad_coverage_scene
4,12、INT. GORDON'S HOUSE - EVENING,What does Gordon ask the girl about?,Are you sure it was Jonathan they took away?,GORDON (to girl) Are you sure it was Jonathan they took away?,Character Understanding,broad_coverage_scene
5,4、EXT. DUTCH REFORM CHURCH - DAY,"In [4、EXT. DUTCH REFORM CHURCH - DAY], What is Mrs. Coetzee's emotional state?",Drawn and worried,"Mrs. Coetzee (WOMAN) He won't come to church. He lies in bed all day, listening to his headphones.",Character Understanding,broad_coverage_scene
6,63、EXT. GARAGE - DAY,"In [63、EXT. GARAGE - DAY], What is Ben's emotional state during his conversation with Stanley?",Confused.,Ben is confused and Stanley is staring at him.,Character Understanding,broad_coverage_scene
7,16、INT. STANLEY'S TAXI - DAY,What group does 'Boers' denote in the context?,Descendants of Dutch settlers in South Africa.,STANLEY: Those Boers... the bastards'll kick him around till they lose him.,Scene Grounding,broad_coverage_scene
8,6、INT. BEN'S KITCHEN - DAY,Why is Gordon concerned about a police record for his son?,Because it would make it difficult for Jonathan to get a job.,It will be there for the rest of his life and make it difficult for him to get a job in the future.,Causal-Motivational Reasoning,broad_coverage_scene
9,18、INT. BEN'S DEN - MORNING,"In [18、INT. BEN'S DEN - MORNING], What is Johan's behavioral state?",Engaged in an imaginary boxing match,having an imaginary boxing match,Character Understanding,broad_coverage_scene
10,67、INT. FUNERAL PARLOR - DAY,"In [67、INT. FUNERAL PARLOR - DAY], What is Ben's emotional state when he sees Gordon's body?",Horror and shock,looks at the wounds with horror and is ashen,Character Understanding,broad_coverage_scene
11,67、INT. FUNERAL PARLOR - DAY,"In [67、INT. FUNERAL PARLOR - DAY], What is Gordon's physical condition as described in the passage?",Battered with a distorted face and bruised chest,"bruised and battered chest, face... distorted, blackish purple, rough stitches",Character Understanding,broad_coverage_scene
12,36、INT. BEN'S STUDY - NIGHT,What does Ben mutter in response to Gordon's voice in his thoughts?,Jeezus -- Jeezus -- Jeezus Christ.,BEN Jeezus -- Jeezus -- Jeezus Christ.,Character Understanding,broad_coverage_scene
13,11、INT. SOWETO TRAIN CARRIAGE - LATE AFTERNOON,What action does the man in blue overalls take?,He jumps on his seat and shouts for quiet.,Suddenly a MAN jumps on his seat... 'Quiet! Thulani! Thulani!',Scene Grounding,broad_coverage_scene
14,41、INT. POLICE HEADQUARTERS (JOHN VORSTER SQUARE) - DAY,"In [41、INT. POLICE HEADQUARTERS (JOHN VORSTER SQUARE) - DAY], Where is Ben when he fills in the slip?",In a bulletproof glass cage,Under the gaze of a uniformed POLICEMAN in a bulletproof glass cage,Scene Grounding,broad_coverage_scene
15,64、INT. STANLEY'S CAR - DAY,"In [64、INT. STANLEY'S CAR - DAY], What ethnic identity does Stanley claim?",He identifies as African.,I am an African. That's all!,Character Understanding,broad_coverage_scene
16,53、INT. DINING ROOM - NIGHT,"In [53、INT. DINING ROOM - NIGHT], What is Ben's behavioral state?",Ben jumps up and hurries to the door,"Ben jumps up, hurries to the door",Character Understanding,broad_coverage_scene
17,22、INT. LEWINSON'S OFFICE - DAY,What does Lewinson say about his state in the morning?,I'm a zombie.,"man, I'm a zombie",Character Understanding,broad_coverage_scene
18,20、INT. BEN'S STUDY - MORNING,"In [20、INT. BEN'S STUDY - MORNING], What is the gardener's emotional state?",Worried,he's worried,Character Understanding,broad_coverage_scene
19,36、INT. BEN'S STUDY - NIGHT,What does Susan say about Ben's actions toward the family?,"I'm proud of you, Ben... what you've done for that family.","SUSAN I'm proud of you, Ben... what you've done for that family.",Character Understanding,broad_coverage_scene
