id,related_scenes,question,answer,related_context,question_type,question_source
1,1、INT. INTERROGATION ROOM - PRESENT,"In [1、INT. INTERROGATION ROOM - PRESENT], What is Eddy's physical condition according to his statement?","He hasn't slept for forty-eight hours, has broken ribs, and feels a flu coming on.","EDDY: I haven't slept for forty-eight hours, got a dozen broken ribs, can feel a case of the flu coming on...",Character Understanding,broad_coverage_scene
2,23、EXT. SAMOAN JO'S - NIGHT,"In [23、EXT. SAMOAN JO'S - NIGHT], What is the man's physical condition when he exits the door?",Covered in flames,a man comes tearing out of the door covered in flames,Character Understanding,broad_coverage_scene
3,22、INT. BOXING GYM - NIGHT,What does Eddy say about the situation when he enters the gym?,"Evening Frazer, Phil, Don. This is a bit dramatic, isn't it? Is it supposed to be symbolic?","EDDY Evening Frazer, Phil, Don. This is a bit dramatic, isn't it? Is it supposed to be symbolic?",Character Understanding,broad_coverage_scene
4,19、INT. ED AND BACON'S HOUSE - NIGHT,"In [19、INT. ED AND BACON'S HOUSE - NIGHT], What is Ed's state when the camera focuses on his face?","Motionless, eyes closed, appearing asleep","He is motionless, eyes closed; he looks asleep",Character Understanding,broad_coverage_scene
5,11、INT. DOG'S HOUSE - NIGHT,"In [11、INT. DOG'S HOUSE - NIGHT], What is Dog's role among his lads?",He is a leader or authority figure.,Dog has a small pile of money and pills that he is distributing to his lads.,Character Understanding,broad_coverage_scene
6,42、INT. JD' S BAR - DAY,What steps does Tom describe for his scam involving cheques?,"Create a fake company, advertise dildos, collect cheques, wait, then return them with a false excuse.","Tom describes opening a company, placing an advert, selling dildos, collecting cheques, waiting two weeks, and returning cheques with a fake supply issue.",Scene Grounding,broad_coverage_scene
7,46、INT. JD'S BAR - DAY,Why does BACON say he is thinking?,Because SOAP challenged him to come up with a suggestion.,"SOAP: 'If you're so fucking clever why don't you come up with a suggestion?' BACON: 'I am thinking, I am thinking.'",Causal-Motivational Reasoning,broad_coverage_scene
8,44、INT. JD'S BAR - DAY,What does Tom say about Soap's idea?,I have heard some fucking stupid ideas in my time but yours makes Bacon's sound inspired,TOM I have heard some fucking stupid ideas in my time but yours makes Bacon's sound inspired,Scene Grounding,broad_coverage_scene
9,38、INT. SAMOAN JO'S - NIGHT,What does Tom do after Eddy's statement about the debt?,Tom drops his drink and rushes Eddy.,Tom drops his drink and rushes Eddy.,Scene Grounding,broad_coverage_scene
10,30、INT. STATELY HOME BEDROOM - NIGHT,"In [30、INT. STATELY HOME BEDROOM - NIGHT], What is Gary's physical condition after the gunshot?",Shaking and shell-shocked with a torn bouffant hairdo,"shaking shell-shocked Gary, mouth agape. The gun shot has torn through the centre of Gary's bouffant hairdo leaving him with a pair of smoking Mickey Mouse ears",Character Understanding,broad_coverage_scene
11,35、INT. BOXING GYM CHANGING ROOM - NIGHT,What action does Barry take immediately after his phone rings?,He jumps in shock and fishes around to find it.,Barry's phone rings. He jumps in shock and fishes around to find it.,Scene Grounding,broad_coverage_scene
12,11、INT. DOG'S HOUSE - NIGHT,"In [11、INT. DOG'S HOUSE - NIGHT], What is Plank's response to Dog's explanation?",He does not have a problem with it.,He obviously doesn't.,Character Understanding,broad_coverage_scene
13,34、INT. BOXING GYM - NIGHT,What does Eddy do after frowning?,He glances over his shoulder and collects his money.,"Eddy frowns slightly... satisfied that nothing can be amiss, he collects his money.",Scene Grounding,broad_coverage_scene
14,12、INT. ED AIVD BACON'S HOUSE - NIGHT,"In [12、INT. ED AIVD BACON'S HOUSE - NIGHT], What is Tom's behavioral state?",Raises his eyebrows and frowns,Tom raises his eyebrows and frowns to Bacon.,Character Understanding,broad_coverage_scene
15,22、INT. BOXING GYM - NIGHT,What does Eddy mention about his gloves?,I would have brought my gloves if I had known.,EDDY I would have brought my gloves if I had known.,Character Understanding,broad_coverage_scene
16,40、EXT. STREET - DAY,What physical characteristics indicate Ed's distress?,Two-day stubble and eyes in black sockets,"Ed, who looks like he is close to suicide, has developed a two-day stubble and his eyes have disappeared into black sockets.",Scene Grounding,broad_coverage_scene
17,38、INT. SAMOAN JO'S - NIGHT,What action does Bacon's eye perform while Ed cleans himself?,Bacon's eye opens to see Ed cleaning himself.,One of Bacon's eyes opens to see Ed cleaning himself.,Scene Grounding,broad_coverage_scene
18,41、INT. SLOANES' SITTING ROOM - DAY The ridiculous door-bell horn blows.,What happens after the girl shouts 'BOO!'?,"The girl shouts 'BOO!', startling Plank who knocks over shoe boxes.","GIRL BOO! Plank jumps back, completely taken by surprise, knocking over a pedestal of shoe boxes...",Scene Grounding,broad_coverage_scene
19,23、EXT. SAMOAN JO'S - NIGHT,"In [23、EXT. SAMOAN JO'S - NIGHT], What emotional state do the lads exhibit?",Mild shock,The lads look on in mild shock,Character Understanding,broad_coverage_scene
20,30、INT. STATELY HOME BEDROOM - NIGHT,"In [30、INT. STATELY HOME BEDROOM - NIGHT], What is the butler's physical state after firing the gun?",Knocked off his feet by the gun's recoil,The recoil knocks the butler clear off his feet,Character Understanding,broad_coverage_scene
21,39、INT. HATCHET HARRY'S' OFFICE - NIGHT,How did Harry react when Smithy failed to explain?,lost his temper and reached for the nearest thing at hand,Within a minute Harry lost his temper and reached for the nearest thing at hand,Scene Grounding,broad_coverage_scene
22,20、INT. SEEDY BAR - NIGHT,"In [20、INT. SEEDY BAR - NIGHT], What is Barry's affiliation?",He is Hatchet's man.,They are meeting Barry (Hatchet's man).,Character Understanding,broad_coverage_scene
23,26、INT. BOXING GYM CHANGING ROOM - NIGHT,Why did Eddy put in half the ante?,Because he didn't know what he had.,The reason I put in half the anti is because I don't know what I have got.,Causal-Motivational Reasoning,broad_coverage_scene
24,28、EXT. STATELY HOME - NIGHT,"In [28、EXT. STATELY HOME - NIGHT], What is Dean's emotional state when observing Gary's disguise?",Expresses distaste,Dean looks at Gary's disguise with some distaste.,Character Understanding,broad_coverage_scene
