id,related_scenes,question,answer,related_context,question_type,question_source
1,1、INT. MOVIE THEATRE - CONTINUOUS,What specific actions are the dogs performing during the mechanized bath time?,"One dog suffers through a mechanized bath, while another wears an electrode helmet and runs on a treadmill.","One dog runs suffers through mechanized bath time, while a second wears an electrode helmet and runs on a treadmill.",Scene Grounding,broad_coverage_scene
2,58、EXT. CARL'S HOUSE - MORNING,"In [58、EXT. CARL'S HOUSE - MORNING], What does Carl say as the house begins to lift off?",So long boys! I'll send you a postcard from Paradise Falls!,CARL So long boys! I'll send you a postcard from Paradise Falls!,Character Understanding,broad_coverage_scene
3,"48、EXT. CARL'S HOUSE, PORCH - DAY",What action does Carl take after Russell's final offer?,Carl closes the door in Russell's face,Carl closes the door in Russell's face,Scene Grounding,broad_coverage_scene
4,"46、EXT. CARL'S HOUSE, PORCH - MORNING",What does Carl tell the construction foreman about his boss?,Tell your boss over there that you boys are ruining our house.,CARL No. Yes. Tell your boss over there that you boys are ruining our house.,Character Understanding,broad_coverage_scene
5,"49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS","In [49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS], What does Russell commit to doing for Carl?",Russell commits to finding the snipe to help Carl.,"Russell: 'I'll find it, Mr. Fredricksen!'",Character Understanding,broad_coverage_scene
6,35、INT. HOSPITAL ROOM - DAY,What causes Ellie to push her Adventure Book toward Carl?,Carl's arrival at her bedside,Carl stands at the door. He smiles and walks to her bedside. Ellie pushes her Adventure Book toward him.,Causal-Motivational Reasoning,broad_coverage_scene
7,"20、INT. CARL AND ELLIE'S HOUSE, BABY ROOM - DAY",What is Ellie doing?,Painting a wall mural of a stork carrying a bundle in its beak,Ellie finishes painting a wall mural of a stork carrying a bundle in its beak,Scene Grounding,broad_coverage_scene
8,34、EXT. RURAL HILLSIDE - AFTERNOON,Why does Carl run to Ellie?,Because she fell and was unable to get up,He runs to her. She tries to get up but falls again.,Causal-Motivational Reasoning,broad_coverage_scene
9,21、INT. DOCTOR'S OFFICE - AFTERNOON,"In [21、INT. DOCTOR'S OFFICE - AFTERNOON], What is Ellie's behavioral state?",She drops her head in her hands.,Ellie drops her head in her hands.,Character Understanding,broad_coverage_scene
10,"49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS","In [49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS], What does Russell believe is required to become a Senior Wilderness Explorer?",Russell believes earning the Assisting the Elderly badge is required.,Russell: 'If I get it I will become a Senior Wilderness Explorer!',Character Understanding,broad_coverage_scene
11,1、INT. MOVIE THEATRE - CONTINUOUS,How does Young Carl react when the giant bird skeleton is revealed?,Young Carl leans forward with eyes bulging.,"Young Carl leans forward, eyes bulging.",Scene Grounding,broad_coverage_scene
12,14、EXT. CARL AND ELLIE'S HOUSE - DAY,When does Ellie finish painting the mailbox?,Before Carl admires her work.,Ellie finishes painting 'Carl & Ellie' on their MAILBOX. Carl leans in to admire her work...,Temporal Reasoning,broad_coverage_scene
13,14、EXT. CARL AND ELLIE'S HOUSE - DAY,When does Ellie add her handprint?,After Carl leaves a messy paint handprint.,Carl leans in to admire her work but leaves a messy paint handprint on the mailbox! Oh well; Ellie adds her handprint as well.,Temporal Reasoning,broad_coverage_scene
14,53、EXT. CARL'S HOUSE - LATE EVENING,What does Officer Edith give Carl and why?,A pamphlet for Shady Oaks Retirement Village because the guys will pick him up.,She hands him a pamphlet for SHADY OAKS RETIREMENT VILLAGE. The guys from Shady Oaks will be by to pick you up.,Character Understanding,broad_coverage_scene
15,19、EXT. RURAL HILLSIDE - DAY,"In [19、EXT. RURAL HILLSIDE - DAY], What is Carl's reaction when he points out the baby?",Stunned but smiles,Carl is stunned... but smiles.,Character Understanding,broad_coverage_scene
16,58、EXT. CARL'S HOUSE - MORNING,What does Nurse A.J. say about Carl's behavior?,He's probably going to the bathroom for the eightieth time.,NURSE A.J. Typical. He's probably going to the bathroom for the eightieth time.,Character Understanding,broad_coverage_scene
17,"25、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON","In [25、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON], What is Carl's physical condition after the accident?",He has a broken leg.,Carl in the hospital with a broken leg.,Character Understanding,broad_coverage_scene
18,"44、EXT. CARL'S HOUSE, PORCH - CONTINUOUS",What causes the door to bang?,The safety chain was engaged.,"The door opens, but bangs against the safety chain.",Causal-Motivational Reasoning,broad_coverage_scene
19,39、INT. CARL'S STAIRCASE - LATER,Why does the chair restart after stopping?,Carl bangs the armrest,He bangs the armrest and the chair restarts.,Causal-Motivational Reasoning,broad_coverage_scene
20,19、EXT. RURAL HILLSIDE - DAY,"In [19、EXT. RURAL HILLSIDE - DAY], What is Ellie's emotional state when she sees the clouds?",Excited,"Ellie lights up, excited.",Character Understanding,broad_coverage_scene
21,"18、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - DAY | 35、INT. HOSPITAL ROOM - DAY | 16、EXT. RURAL HILLSIDE - DAY",How does Carl react when he is lying beside Ellie on the picnic blanket?,Carl closes his eyes and smiles with quiet contentment.,Carl closes his eyes and smiles. The sun warms his face as he lies beside her on the picnic blanket.,Character Understanding,broad_coverage_event_chain
22,35、INT. HOSPITAL ROOM - DAY | 16、EXT. RURAL HILLSIDE - DAY,How does Carl react when he is lying beside Ellie on the picnic blanket?,Carl closes his eyes and smiles with quiet contentment.,Carl closes his eyes and smiles. The sun warms his face as he lies beside her on the picnic blanket.,Character Understanding,broad_coverage_event_chain
23,"16、EXT. RURAL HILLSIDE - DAY | 18、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - DAY",What does Carl do after watching the cloud change into the shape of a turtle?,Carl closes his eyes and smiles.,He watches as one cloud slowly changes into the shape of a turtle. Carl closes his eyes and smiles.,Character Understanding,broad_coverage_event_chain
24,"17、EXT. ZOO - DAY | 4、INT. DILAPIDATED HOUSE, LIVING ROOM - CONTINUOUS | 9、INT. CARL'S ROOM - MOMENTS LATER",What does Ellie state about Carl while leaving the room?,Ellie states that Carl does not talk very much but that she likes him.,"She briefly pops her head back in to say, 'You know, you don't talk very much. I like you.'",Character Understanding,broad_coverage_event_chain
25,"46、EXT. CARL'S HOUSE, PORCH - MORNING",What does Carl state about when the developer can have his house?,Carl states that the developer can have the house when he is dead.,"Carl walks to his front door, says the man can have the house when he’s dead, and slams the door shut.",Character Understanding,broad_coverage_scene
26,35、INT. HOSPITAL ROOM - DAY | 16、EXT. RURAL HILLSIDE - DAY,How does Carl react when he is lying beside Ellie on the picnic blanket?,Carl closes his eyes and smiles with quiet contentment.,Carl closes his eyes and smiles. The sun warms his face as he lies beside her on the picnic blanket.,Character Understanding,broad_coverage_event_chain
27,8、INT. CARL'S ROOM | 35、INT. HOSPITAL ROOM - DAY | 16、EXT. RURAL HILLSIDE - DAY,How does Ellie describe her reason for visiting Carl?,Ellie states that she thought Carl might need cheering up.,Ellie climbs through the window and tells Carl she thought he might need cheering up.,Character Understanding,broad_coverage_event_chain
28,"37、EXT. CARL AND ELLIE'S HOUSE - DUSK | 4、INT. DILAPIDATED HOUSE, LIVING ROOM - CONTINUOUS | 9、INT. CARL'S ROOM - MOMENTS LATER",What does Ellie state about Carl's way of speaking?,Ellie states that Carl does not talk very much and that she likes him.,"She briefly pops her head back in to say, 'You know, you don't talk very much. I like you.'",Character Understanding,broad_coverage_event_chain
29,"32、INT. CARL'S HOUSE, LIVING ROOM - AFTERNOON | 35、INT. HOSPITAL ROOM - DAY | 16、EXT. RURAL HILLSIDE - DAY",How does Carl react when he sees the photograph of Ellie as a child?,Carl pauses and smiles when he sees the photograph of Ellie as a child.,"He pauses and smiles at a photograph of Ellie as a child, wearing her flight helmet and goggles.",Character Understanding,broad_coverage_event_chain
30,"9、INT. CARL'S ROOM - MOMENTS LATER | 25、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON",When does Carl first break the Paradise Falls jar?,Carl first breaks the Paradise Falls jar when he and Ellie need to repair their car after getting a flat tire.,"Carl and Ellie's car gets a flat tire. They stand by the jar labeled 'PARADISE FALLS' as coins clink into it over time. Carl picks up the jar, hesitates, then breaks it open. He takes out the money and uses it to pay for a new tire.",Temporal Reasoning,broad_coverage_event_chain
31,"47、INT. CARL'S LIVING ROOM - DAY - LATER | 48、EXT. CARL'S HOUSE, PORCH - DAY | 49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS",Why does Carl send Russell on a snipe hunt?,Carl sends Russell on a snipe hunt to get rid of him after being pressured into accepting help.,"When Russell blocks the door with his foot, Carl relents and tells him about a made-up bird called a snipe that eats his azaleas, claiming he is too frail to catch it, and sends Russell to find it two blocks away.",Causal-Motivational Reasoning,broad_coverage_event_chain
