id,related_scenes,question,answer,related_context,question_type,question_source
1,43、INT WESTLAKE LAB/APARTMENT - DAY,What belief does Peyton express about his relationship with Julie?,He fears she no longer recognizes or loves him after the fire.,"PEYTON grabs the picture. In a fire ravaged voice; PEYTON When I'm W Do you still love me, now W can no u just some repulsive thing yo longer recognize? When I sicken YOU. When you run.",Character Understanding,broad_coverage_scene
2,7、INT. HUNT CLUB LOBBY- DAY,How does Strack Sr. react when accepting Julie?,He scowls and ungraciously accepts her,"STRACK SR. scowls, ungraciously accepting her",Scene Grounding,broad_coverage_scene
3,58、EXT. HIGH RISE - DAY,Why is Pauly trying to shriek?,Because he is falling,"Falling, trying to find the air to shriek as",Causal-Motivational Reasoning,broad_coverage_scene
4,58、EXT. HIGH RISE - DAY,Why does the skyscraper blur past?,Because Pauly is falling,THE SKYSCRAPER blurs past,Causal-Motivational Reasoning,broad_coverage_scene
5,12、INT LIMOUSINE - TEXACO STATION - DAY,"In [12、INT LIMOUSINE - TEXACO STATION - DAY], What is STRACK SR.'s emotional state?",Angry and frustrated.,What the hell! You should be. This'll come out of your wages.,Character Understanding,broad_coverage_scene
6,25、INT STRACK'S OFFICE - DAY,"In [25、INT STRACK'S OFFICE - DAY], What is Strack's emotional state when discussing his father's loss?","He displays a faint smile and refers to his father as a great man, indicating restrained grief.","STRACK (FAINT SMILE) Maison Reme 1967? ... My father was a great man, and his loss is felt by all of us.",Character Understanding,broad_coverage_scene
7,25、INT STRACK'S OFFICE - DAY,"In [25、INT STRACK'S OFFICE - DAY], How does Julie respond to Strack's question about being shocked by the bribes?","She responds hesitantly and quietly, indicating apprehension.","JULIE (QUIETLY) No. In fact I'd surmised as much. ... Julie continues, hesitantly:",Character Understanding,broad_coverage_scene
8,23、EXT. CITY STREET - MORNING,"In [23、EXT. CITY STREET - MORNING], What is Julie's emotional state when Peyton proposes?",Panicked and conflicted about marriage.,Freezes half in and half out of the cab door. Panicked.,Character Understanding,broad_coverage_scene
9,22、INT WESTLAKE LAB - MORNING,"In [22、INT WESTLAKE LAB - MORNING], What is Julie's emotional state when she is going over the papers?",Increasingly disturbed,her expression increasingly disturbed,Character Understanding,broad_coverage_scene
10,8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY,"In [8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY], What is Julie's behavioral state when she interacts with Strack Sr.?",She silences him by digging her heel into his toe,high heel as it digs into Strack Sr's toe to silence him.,Character Understanding,broad_coverage_scene
11,8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY,"In [8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY], What is Strack Jr.'s emotional state during the negotiation?",Trying to suppress a smile,Strack Jr. tries to suppress a smile.,Character Understanding,broad_coverage_scene
12,64、EXT. DURANT'S HOME - NIGHT,"In [64、EXT. DURANT'S HOME - NIGHT], What object is attached to the phone junction box and emits a flashing red light?",An electronic bug,An electronic bug attached to one of the terminals gives off a flashing red light.,Scene Grounding,broad_coverage_scene
13,30、INT. WESTLAKE LAB - DAY - PEYTON,What does Durant imply about the houseboy's situation?,That it should jog Peyton's memory,DURANT: Should your houseboy's predicament not jog your memory...,Character Understanding,broad_coverage_scene
14,19、INT. WESTLAKE LAB BUILDING - NIGHT,"In [19、INT. WESTLAKE LAB BUILDING - NIGHT], How does Julie behave when she reaches the landing?",She halts to listen and acts cautiously,She halts halfway up the stairs to listen... Julie reaches the landing and knocks... causing the door to open with a CREAK...,Character Understanding,broad_coverage_scene
15,61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE,What causes Peyton to flee from Julie after appearing to her?,"His synthetic cheek is melting, causing him to hide it",PEYTON'S EYES widen in alarm. He turns one side of his face sharply away from Julie... HIS SYNTHETIC CHEEK is melting,Causal-Motivational Reasoning,broad_coverage_scene
16,61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE,"In [61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE], Why does Peyton's face begin to melt when exposed to sunlight?",Because he was burned and his synthetic cheek is melting,HIS SYNTHETIC CHEEK is melting where the bright sunlight has burned through,Causal-Motivational Reasoning,broad_coverage_scene
17,56、INT. PAULY'S BEDROOM - DAY PAULY? DARXMAN/PAULY?,Why does Durant tuck the tickets into Pauly's jacket?,To ensure he doesn't miss his flight.,"Well, Pauly, I wouldn't want you to miss your flight.",Causal-Motivational Reasoning,broad_coverage_scene
18,9、EXT. HUNT CLUB LOBBY - DAY,What is the significance of the hundred dollar bill?,It reveals the steward's undisclosed payment,Strack Jr. unfurls the steward's fingers to reveal a hundred dollar bill,Scene Grounding,broad_coverage_scene
19,6、INT WESTLAKE LAB,"In [6、INT WESTLAKE LAB], What is Yakitito's emotional state during the experiment?",Sad and frustrated,YAKITITO says 'SADLY' and repeatedly punches the wall while expressing despair,Character Understanding,broad_coverage_scene
20,62、INT. A BEDROOM,Why does Julie scream after the transformation?,Because she sees The Darkman's scarred face,his horrible scarred face pressed against Julie's. then lets out an EAR-PIERCING SCREAM.,Causal-Motivational Reasoning,broad_coverage_scene
21,9、EXT. HUNT CLUB LOBBY - DAY,What does 'labels' refer to in Strack Jr.'s accusation?,A deceptive action involving price tags or identifiers,Strack Jr. mentions 'that little trick with the labels',Scene Grounding,broad_coverage_scene
22,43、INT WESTLAKE LAB/APARTMENT - DAY,What does Peyton ask Julie in the aftermath of the fire?,He questions if she still loves him despite his disfigured state.,"PEYTON grabs the picture. In a fire ravaged voice; PEYTON When I'm W Do you still love me, now W can no u just some repulsive thing yo longer recognize? When I sicken YOU. When you run.",Character Understanding,broad_coverage_scene
23,35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY,What does the Gravedigger say about the body?,"He didn't find the guy's body, just an ear.","Never found the guy's body, just an ear.",Character Understanding,broad_coverage_scene
24,55、INT. ONASSIS CONEY ISLAND RESTAURANT,Why does Guzman hesitate to slide the briefcase?,Because he suspects Darkman/Pauly.,He eyes Darkman/Pauly suspiciously.,Causal-Motivational Reasoning,broad_coverage_scene
25,38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton say when he reaches for Julie?,Juuuuulieeeeee. Heeeeeeeelp meeeeeee...,DARK FIGURE/PEYTON Juuuuulieeeeee. Heeeeeeeelp meeeeeee...,Character Understanding,broad_coverage_scene
26,41、EXT. ALLEY - WIND FANS - NIGHT,What does the newspaper's headline state about the scientist?,Scientist dies in accidental blast. Body still missing.,SCIENTIST DIES IN ACCIDENTAL BLAST/Body still missing.,Character Understanding,broad_coverage_scene
27,36、EXT. GRAVEYARD - LONG-SHOT - DAY,What does the Resident say about the Rangeveritz technique?,He explains it involves severing the spino-thalamic nerve to stop pain impulses.,"RESIDENT Here we have a 25-30 year-old-male... we use the Rangeveritz technique; quite simply, we sever his spino-thalamic nerve...",Character Understanding,broad_coverage_scene
28,12、INT LIMOUSINE - TEXACO STATION - DAY,"In [12、INT LIMOUSINE - TEXACO STATION - DAY], What is the DRIVER's behavioral state?",Apologetic and submissive.,"We have a flat, sir. I'm sorry.",Character Understanding,broad_coverage_scene
29,44、INT. WOMAN'S POWDER ROOM,What does Julie say in response to the businessman's question about drowning her sorrows?,Just giving them something to swim around in.,"BUSINESSMAN Drowning your sorrows, eh? JULIE Just giving them something to swim around in.",Character Understanding,broad_coverage_scene
30,44、INT. WOMAN'S POWDER ROOM,What does Julie state about the Belasarius Memorandum?,The decision's been made for both of us. The papers were destroyed in the fire.,JULIE The decision's been made for both of us. The papers were destroyed in the fire.,Character Understanding,broad_coverage_scene
31,38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton whisper as he tries to convince Julie it's him?,It's meeeeeee.,PEYTON (ALMOST INTELLIGIBLE RASP) It's meeeeeee.,Character Understanding,broad_coverage_scene
32,3、INT PIER BUILDING -- NIGHT,How does Durant demonstrate his control over Black during the confrontation?,He uses a cigar trimmer to cut Black's fingers.,DURANT... slips one of Black's fingers into his cigar trimmer. SNIP! Black screams,Scene Grounding,broad_coverage_scene
33,19、INT. WESTLAKE LAB BUILDING - NIGHT,"In [19、INT. WESTLAKE LAB BUILDING - NIGHT], What is Julie's emotional state as she ascends the stairs?",Uneasy,JULIE is uneasy. She halts halfway up the stairs to listen.,Character Understanding,broad_coverage_scene
34,30、INT. WESTLAKE LAB - DAY - PEYTON,What does Durant demand from Peyton?,The Bellasaurious memorandum,DURANT: We have come only for documents... tell us where to find the Bellasaurious memorandum,Character Understanding,broad_coverage_scene
35,35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY,What does the Gravedigger believe people are paying for?,The real estate.,It's the real estate.,Character Understanding,broad_coverage_scene
36,6、INT WESTLAKE LAB,"In [6、INT WESTLAKE LAB], How does Peyton behave during Yakitito's outburst?",Calm and analytical,Peyton calmly taps a plastic dunking bird and gives rational advice,Character Understanding,broad_coverage_scene
37,59、EXT. STREET - DAY,Why does the woman shriek and need to be restrained?,Because she sees Pauly's dead body and Darkman,A SHOCKED WOMAN looks up from Pauly's dead face to a nearby park-bench... THE WOMAN SHRIEKS and SHRIEKS. She has to be restrained by the crowd,Causal-Motivational Reasoning,broad_coverage_scene
38,10、INT WESTLAKE LAB - DAY - A GLASS BEAKER,What causes Peyton to mention his father's disapproval?,Yakitito's suggestion that he might ask Peyton to marry him.,YAKITITO Maybe I ask to marry you. PEYTON Your father would never approve of me.,Causal-Motivational Reasoning,broad_coverage_scene
39,13、EXT. LIMOUSINE,"In [13、EXT. LIMOUSINE], What is the driver's behavioral state when approaching the tire?",Discreetly removing a straight-razor,THE DRIVER discretely removes a straight-razor from his coat pocket and approaches the tire.,Character Understanding,broad_coverage_scene
40,55、INT. ONASSIS CONEY ISLAND RESTAURANT,Why is Guzman angry?,Because Durant is upset about not knowing Rick's location.,Durant piss me off. How de hell should we know where Rick is?,Causal-Motivational Reasoning,broad_coverage_scene
41,36、EXT. GRAVEYARD - LONG-SHOT - DAY,What instruction does the Resident give after describing the technique?,He says to stick the patient with a pin once pain impulses are blocked.,"RESIDENT No longer receiving impulses of pain, you stick him with a pin...",Character Understanding,broad_coverage_scene
42,23、EXT. CITY STREET - MORNING,"In [23、EXT. CITY STREET - MORNING], What is Julie's current life situation as described in the passage?",Starting to build her career at the firm and wants her own place.,"I'm just starting to get things going at the firm. And, you know, I kind of like having my own PLACE.",Character Understanding,broad_coverage_scene
43,59、EXT. STREET - DAY,"In [59、EXT. STREET - DAY], Why is Darkman's synthetic cheek melting?",Because of the bright sunlight,His synthetic cheek is melting where the bright sunlight hits it,Causal-Motivational Reasoning,broad_coverage_scene
44,19、INT. WESTLAKE LAB BUILDING - NIGHT | 44、INT. WOMAN'S POWDER ROOM,What does Strack state about his reasons for offering Julie a position on his permanent staff?,"Strack states that he trusts his instincts and likes Julie's instincts, which is why he offers her a position on his permanent staff.","He tells her he trusts his instincts and likes hers, then formally offers her a position on his permanent staff.",Character Understanding,broad_coverage_event_chain
45,19、INT. WESTLAKE LAB BUILDING - NIGHT | 20、INT WESTLAKE LAB - NIGHT,What does Julie state about Peyton's need to explain his actions?,Julie states that Peyton did not have to explain his actions because she already understood what they meant.,"Julie says, 'You didn't have to explain it,' and adds, 'I know what it meant.'",Character Understanding,broad_coverage_event_chain
