id,related_scenes,question,answer,related_context,question_type,question_source
1,21、EXT. REAR OF TERMINAL BUILDING - NIGHT,"In [21、EXT. REAR OF TERMINAL BUILDING - NIGHT], What is Marge's emotional state when she confronts Sarg?",Emotionally distressed and seeking divorce.,"Marge says, 'I want a divorce, Sarg.' and 'there's been someone else for fifteen years.'",Character Understanding,broad_coverage_scene
2,13、INT. TERMINAL,What does the Commissioner advise Bud to do?,Get wise to the political realities,"COMMISSIONER: Bud, get wise to the political realities.",Character Understanding,broad_coverage_scene
3,25、EXT. GANTRY - NIGHT,"In [25、EXT. GANTRY - NIGHT], What action does Sarg take against the worker?",Blows the worker out of frame with a massive explosion.,"Sarg spits a chunk of cigar on the ground, blowing the worker OUT OF FRAME with a MASSIVE EXPLOSION.",Character Understanding,broad_coverage_scene
4,17、EXT. TERMINAL,"In [17、EXT. TERMINAL], What is Kruger's emotional state when he speaks to the Commissioner?",He feels the situation is more complicated than the Commissioner believes.,I just wish it was that simple.,Character Understanding,broad_coverage_scene
5,6、INT. CONTROL ROOM,"In [6、INT. CONTROL ROOM], What is the CONTROLLER's status according to their dialogue?",Programmed on R-two-niner and locked.,"CONTROLLER (at computer screen) You're programmed on R-two-niner and locked, Lunar eight six. Over.",Character Understanding,broad_coverage_scene
6,38、INT. TERMINAL,Why do the businessmen feel secure about the Viatex account?,It's a buy-sell option where neither party can get hurt.,BUSINESSMAN: 'It's a buy-sell option. We can't get hurt in either case.',Causal-Motivational Reasoning,broad_coverage_scene
7,39、INT. TERMINAL - ANOTHER AREA,Why does Simon pull Elaine away from Ted?,Because Simon believes Ted is crazy.,"Simon: 'You're still crazy, Striker. Come on, sweetheart.'",Causal-Motivational Reasoning,broad_coverage_scene
8,39、INT. TERMINAL - ANOTHER AREA,What causes Elaine to ask 'What did Ted mean?',Ted's ambiguous warning about the Mercury flight.,ELAINE: 'What did Ted mean?' They leave Ted standing.,Causal-Motivational Reasoning,broad_coverage_scene
9,49、INT. MISSION CONTROL ROOM,What does the controller announce about the launch status?,All systems are go. Clear launch area.,This is Mercury launch control at 'T' minus fifty-eight minutes and counting. All systems are go. Clear launch area.,Character Understanding,broad_coverage_scene
10,21、EXT. REAR OF TERMINAL BUILDING - NIGHT,"In [21、EXT. REAR OF TERMINAL BUILDING - NIGHT], What is Sarg's emotional state during his conversation with Marge?",Defensive and angry.,"Sarg asks, 'Is there someone else, Marge? Is that it?'",Character Understanding,broad_coverage_scene
11,34、INT. HOTEL LOBBY,What causes the Clerk to say 'I'd say you're fucked'?,The couple's loss of American Excess travelers' checks,The Clerk says 'I'd say you're fucked' after the Young Man states they lost their American Excess travelers' checks.,Causal-Motivational Reasoning,broad_coverage_scene
12,32、INT. HOTEL ROOM - DAY,Why does Ted avoid anything with wings?,He lost his squadron in the war.,"After the war, I couldn't go near anything with a pair of wings.",Causal-Motivational Reasoning,broad_coverage_scene
13,41、INT. TERMINAL - OUTSIDE DRUGSTORE,Why does Elaine choose Simon over Ted?,"Because he is stable, a good provider, and lacks fear.","Elaine states Simon is stable, a good provider, and lacks fear, which she needs in a man.",Causal-Motivational Reasoning,broad_coverage_scene
14,56、INT. TERMINAL GIFT SHOP,What does Scott say to Dr. Spock?,"My God, Dr. Spock! You've got a meltdown in the Reggie Bars!","SCOTT (Scottish accent) My God, Dr. Spock! You've got a meltdown in the Reggie Bars!",Character Understanding,broad_coverage_scene
15,"37、EXT. TERMINAL, PASSENGER ARRIVALS - NIGHT",What does the son's statement about union and working together indicate?,His hope for a united community where men can realize potential.,"SON: 'Where black men and white men, working together, can move mountains.'",Causal-Motivational Reasoning,broad_coverage_scene
16,40、INT. ROCKET HANGAR,What does Simon believe about Ted's behavior?,"Ted is a danger to himself and the mission, and his behavior does nothing to promote peace in the Middle East.","Ted's a danger to himself, he's a threat to this mission and his behavior does absolutely nothing to promote peace in the Middle East.",Character Understanding,broad_coverage_scene
17,51、INT. MISSION CONTROL HEAD OFFICE - RECEPTION,What does Ted claim the matter is?,A matter of death,"All right, it's a matter of death.",Character Understanding,broad_coverage_scene
18,54、INT. TERMINAL,What does the wife say is more important than the kids' clothes?,Your sexual potency.,"WIFE (holding a finger to his lips) Joey, what's more important, the kids' clothes or your sexual potency.",Character Understanding,broad_coverage_scene
19,35、INT. HOTEL ROOM,Why does Ted correct the boy's identification of the ZR-2300?,Because the boy incorrectly identifies it as a muffler bracket for a '78 Pinto.,"BOY: The muffler bracket for a '78 Pinto. TED: No, that's an XR-2200. The XR-2300 is the Mercury shuttle.",Causal-Motivational Reasoning,broad_coverage_scene
20,33、EXT. TOWN SQUARE - DAY,What causes the soldier to shoot the second peasant?,The peasant panics and bolts from the line.,The peasant panics and bolts from the line. The soldiers FIRE.,Causal-Motivational Reasoning,broad_coverage_scene
21,40、INT. ROCKET HANGAR,What does Ted claim about the wiring?,It's shorting out under high temperatures.,Look at this wiring. It's shorting out under high temperatures.,Character Understanding,broad_coverage_scene
22,32、INT. HOTEL ROOM - DAY,What caused the crucifix to look around during the dogfight footage?,The superimposed planes in the footage.,The Crucifix in b.g. looks around trying to figure out where the planes in the SUPER are coming from.,Causal-Motivational Reasoning,broad_coverage_scene
23,50、INT. TERMINAL,What does Oveur question regarding explanations?,Do you think it's necessary to explain everything?,OVEUR Do you think it's necessary to explain everything?,Character Understanding,broad_coverage_scene
24,24、EXT. GANTRY - NIGHT,"In [24、EXT. GANTRY - NIGHT], What is the painting in Kruger's office depicting?",Three astronauts with big eyes on black velvet,"a huge Keans-style painting of three astronauts with big eyes, painted on black velvet",Scene Grounding,broad_coverage_scene
25,15、INT. TERMINAL - SHOESHINE STAND,"In [15、INT. TERMINAL - SHOESHINE STAND], What is the MAN's behavioral state while getting his shoes shined?",He is unaware his shoes are being polished,A MAN next to them in white shoes reads paper... doesn't notice his shoes are getting black polish,Character Understanding,broad_coverage_scene
26,25、EXT. GANTRY - NIGHT,"In [25、EXT. GANTRY - NIGHT], What does Sarg do after looking at the wire?",Shakes his head and spits a chunk of cigar.,Sarg looks at the wire and shakes his head. Sarg spits a chunk of cigar on the ground.,Character Understanding,broad_coverage_scene
27,"23、EXT. TERMINAL, PASSENGER ARRIVAL AREA - NIGHT","In [23、EXT. TERMINAL, PASSENGER ARRIVAL AREA - NIGHT], What is Jimmy's emotional state when the porter threatens Scraps?",Crying and upset,Jimmy cries,Character Understanding,broad_coverage_scene
28,"23、EXT. TERMINAL, PASSENGER ARRIVAL AREA - NIGHT","In [23、EXT. TERMINAL, PASSENGER ARRIVAL AREA - NIGHT], How does the man in the cage react to being locked with luggage?",Reveling in being locked up with luggage,The man in the cage seems to relish the latter suggestion,Character Understanding,broad_coverage_scene
29,54、INT. TERMINAL,What does the wife tell Joe about sexual impotence?,It is nothing to be ashamed of.,"WIFE Joey! Remember, sexual impotence is nothing to be ashamed of!",Character Understanding,broad_coverage_scene
30,52、INT. MISSION CONTROL ROOM,What instruction does Controller 1 give regarding passengers?,Commence loading of passengers requiring special boarding assistance.,Commence loading of passengers requiring special boarding assistance.,Character Understanding,broad_coverage_scene
31,8、INT. MISSION CONTROL,"In [8、INT. MISSION CONTROL], What is the kid's status regarding the tour?",A tour participant who has lagged behind,A kid from the tour who has lagged behind,Character Understanding,broad_coverage_scene
32,35、INT. HOTEL ROOM,What caused Ted to stop pacing when the boy enters?,The boy's sudden entrance.,SUDDENLY the boy bursts in. BOY... Ted spins and the paper stays still. He stops.,Causal-Motivational Reasoning,broad_coverage_scene
