id,related_scenes,question,answer,related_context,question_type,question_source
1,3、INT. FISHING BOAT BUNK ROOM -- NIGHT,What does 'THE MAN' refer to in the passage?,The injured person being treated by the sailors.,SAILORS sweeping off the table -- rough hands laying THE MAN down --,Scene Grounding,broad_coverage_scene
2,6、INT. FISHING BOAT BUNK ROOM -- DAY,"In [6、INT. FISHING BOAT BUNK ROOM -- DAY], What is The Man's physical condition?",Bandaged and in pain,"THE MAN is bandaged. He's sitting up, and it must hurt like hell",Character Understanding,broad_coverage_scene
3,25、EXT. ZURICH -- DAY,"In [25、EXT. ZURICH -- DAY], What is the man's current action?",Checking for cops and trouble,Checking for cops and trouble.,Character Understanding,broad_coverage_scene
4,22、EXT. ZURICH PARK -- NIGHT,"In [22、EXT. ZURICH PARK -- NIGHT], What is THE MAN's emotional state when confronted by the Zurich cops?",Uncertain and anxious.,THE MAN not sure what to do. Eyes moving. Mouth shut.,Character Understanding,broad_coverage_scene
5,56、EXT. U.S. CONSULATE BUILDING WALL -- DAY,What does Bourne say after the red bag falls?,Forget the open window. Now he's got to go all the way.,THE RED BAG falls. Thump. Into the courtyard. Forget the open window. Now he's got to go all the way.,Character Understanding,broad_coverage_scene
6,49、INT. U.S. CONSULATE MAIN CONFERENCE ROOM -- DAY,What action does Bourne take immediately after closing the door?,Jamming a chair to wedge it tight,he's CLOSING A DOOR behind him -- he's jamming A CHAIR -- wedging it in tight so the door won't open,Temporal Reasoning,broad_coverage_scene
7,59、INT. TREADSTONE COMMUNICATIONS DESK -- NIGHT,What belief does Zorn express about Bourne's actions?,Maybe it's a game. Maybe he's trying to send us a message.,ZORN Maybe it's a game. Maybe he's trying to send us a message.,Character Understanding,broad_coverage_scene
8,59、INT. TREADSTONE COMMUNICATIONS DESK -- NIGHT,What does Conklin say upon confirming Bourne's identity?,"It's him. My God, it's really him...","CONKLIN (staring at the monitor) It's him. My God, it's really him...",Character Understanding,broad_coverage_scene
9,69、INT. THE RED CAR -- DUSK,"In [69、INT. THE RED CAR -- DUSK], What does Bourne claim about his memory?",He claims he can't remember anything before two weeks ago.,BOURNE: I can't remember anything earlier than two weeks ago.,Character Understanding,broad_coverage_scene
10,69、INT. THE RED CAR -- DUSK,What does Marie say about Bourne's behavior?,She says he's freaking her out.,MARIE: Can I tell you how much you're freaking me out?,Character Understanding,broad_coverage_scene
11,22、EXT. ZURICH PARK -- NIGHT,"In [22、EXT. ZURICH PARK -- NIGHT], What is THE MAN's behavioral state when the cops demand identification?",Uncertain and compliant.,THE MAN not sure what to do. Eyes moving. Mouth shut. I've lost them.,Character Understanding,broad_coverage_scene
12,11、INT. FISHING BOAT HEAD -- NIGHT,"In [11、INT. FISHING BOAT HEAD -- NIGHT], Where is THE MAN standing when he speaks to his reflection?","In a bathroom with a pitted, tarnished mirror","One of the ugliest bathrooms on the planet. THE MAN standing before a pitted, tarnished, cataract of a mirror.",Scene Grounding,broad_coverage_scene
13,9、EXT. FISHING BOAT DECK -- DAY,How is the man handling his injuries while doing chin-ups?,He is pushing himself despite the pain from bandaged wounds,"He's still bandaged and the wounds must hurt like hell, but he's pushing himself.",Scene Grounding,broad_coverage_scene
14,26、INT. BANK RECEPTION AREA -- DAY,"In [26、INT. BANK RECEPTION AREA -- DAY], What is the man's behavioral state when he arrives?",Looking very out of place,THE MAN standing before her. Looking very out of place.,Character Understanding,broad_coverage_scene
15,23、INT. TREADSTONE -- DAY,"In [23、INT. TREADSTONE -- DAY], What is Zorn's position in the hierarchy?",He is the number two here.,ZORN is the number two here.,Character Understanding,broad_coverage_scene
16,57、EXT. U.S. CONSULATE FIFTH FLOOR GRAND HALLWAY -- DAY,What plan do the Marines mention?,Go room by room until they find him,we're gonna go room by room until we find him,Character Understanding,broad_coverage_scene
17,2、EXT. FISHING BOAT DECK -- NIGHT,What does the body do after the sailors' initial reactions?,convulsing and coughing up sea water,THE BODY MOVES! -- convulsing -- coughing up sea water --,Scene Grounding,broad_coverage_scene
18,24、INT. CIA COMMISSARY -- NIGHT,"In [24、INT. CIA COMMISSARY -- NIGHT], What emotional state does Abbott display during the conversation about Treadstone?",Concerned about budget oversight,They're putting together an agency oversight committee... Treadstone is a rather sizable line item in my ledger,Character Understanding,broad_coverage_scene
19,19、INT. CIA HEADQUARTERS CONFERENCE ROOM -- DAY,"In [19、INT. CIA HEADQUARTERS CONFERENCE ROOM -- DAY], What is Marshall's affiliation?",CIA bigwig,"MARSHALL, a CIA bigwig has the remote control.",Character Understanding,broad_coverage_scene
20,12、EXT. FISHING BOAT -- DAY,Why is The Man working alongside the sailors?,To earn his keep.,Earning his keep.,Causal-Motivational Reasoning,broad_coverage_scene
21,52、INT. U.S. CONSULATE FIFTH FLOOR GRAND HALLWAY -- DAY,What does the Security Chief order the Marines to do?,Blow it and shoot it open,SECURITY CHIEF -- blow it -- shoot it open! --,Character Understanding,broad_coverage_scene
22,8、INT. FISHING BOAT GALLEY -- NIGHT,What occurs to the espresso machine after the man's actions?,It explodes,The whole thing explodes,Scene Grounding,broad_coverage_scene
23,36、INT. U.S. CONSULATE -- VISA ROOM -- DAY | 32、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,What does Bourne do immediately after he sees the police officer jogging toward him?,Bourne leaves the street and vanishes into an unknown area.,"Without hesitation, Bourne leaves the street and vanishes into an unknown area, moving out of sight.",Temporal Reasoning,broad_coverage_event_chain
24,32、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,How does Bourne react when he notices the police officer jogging toward him?,Bourne immediately leaves the street and vanishes into an unknown area to avoid detection.,"Without hesitation, Bourne leaves the street and vanishes into an unknown area, moving out of sight.",Character Understanding,broad_coverage_scene
25,22、EXT. ZURICH PARK -- NIGHT,What does the man state about his actions when he decides not to use the gun on the officers?,The man does not state anything about his actions; he remains silent throughout the incident.,"The man stands over the two unconscious officers... Without a word, he hurls the gun to the ground and runs, disappearing into the night.",Character Understanding,broad_coverage_scene
26,34、INT. U.S. CONSULATE ZURICH -- VISA ROOM -- DAY | 36、INT. U.S. CONSULATE -- VISA ROOM -- DAY,What does Bourne state about his citizenship when questioned at the immigration counter?,Bourne states that he thinks he is a U.S. citizen.,"When the clerk asks if he’s a U.S. citizen, he says yes, then corrects himself, saying he thinks so.",Character Understanding,broad_coverage_event_chain
27,30、INT. BANK SAFETY DEPOSIT VIEWING ROOM -- DAY,What does the man state about his name and residence?,"He states that his name is Jason Bourne and that he lives at 121, Rue de la Jardin, Paris.","He says, 'My name is Jason Bourne. I live at 121, Rue de la Jardin, Paris.'",Character Understanding,broad_coverage_scene
28,3、INT. FISHING BOAT BUNK ROOM -- NIGHT | 4、INT. FISHING BOAT BUNK ROOM -- DAWN -- TIME CUTS | 6、INT. FISHING BOAT BUNK ROOM -- DAY,What does Giancarlo state about how the man was found?,Giancarlo states that the man was in the water and that they pulled him out.,"Giancarlo tells the man, 'You were in the water. They pulled you out.'",Character Understanding,broad_coverage_event_chain
29,30、INT. BANK SAFETY DEPOSIT VIEWING ROOM -- DAY,What name does the man claim as his own when he finds the worn passport with his photograph?,The man claims the name Jason Bourne as his own.,The man opens the safety deposit box and finds a worn passport in the name of Jason Bourne with his own photograph. He speaks the name aloud. 'My name is Jason Bourne.',Character Understanding,broad_coverage_scene
30,32、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS | 37、INT. U.S. CONSULATE LOBBY -- DAY | 36、INT. U.S. CONSULATE -- VISA ROOM -- DAY,What does Bourne state about his passport when asked by the clerk?,He states that having a passport is complicated.,"When she asks for his passport, he falters, muttering that it's complicated.",Character Understanding,broad_coverage_event_chain
31,37、INT. U.S. CONSULATE LOBBY -- DAY | 42、INT. U.S. CONSULATE BACK STAIRWAY -- DAY,What happens after Bourne seizes the M-16 and before he disappears into the building?,Bourne sprints down a hallway and discards the weapon.,"After seizing the M-16, Bourne moves quickly through the crowd and sprints down a hallway, discarding the weapon as he disappears into the building.",Temporal Reasoning,broad_coverage_event_chain
32,37、INT. U.S. CONSULATE LOBBY -- DAY | 32、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,What does the Security Chief state about the suspect's description and location?,"The Security Chief states that the suspect is a male, five-ten tall, with brown hair, wearing a black jacket, carrying a red bag, and was last seen heading for the south side entrance.","The Security Chief speaks frantically into his radio, calling a code red and reporting a male suspect, five-ten, brown hair, black jacket, red bag, last seen heading for the south side entrance.",Character Understanding,broad_coverage_event_chain
33,3、INT. FISHING BOAT BUNK ROOM -- NIGHT | 4、INT. FISHING BOAT BUNK ROOM -- DAWN -- TIME CUTS | 6、INT. FISHING BOAT BUNK ROOM -- DAY,What does Giancarlo state about his role on the boat?,Giancarlo states that he is just on the boat as an engineer and does not want to get involved.,"He looks at the man with a guarded expression and says he’s just on the boat as an engineer, not wanting to get involved.",Character Understanding,broad_coverage_event_chain
34,33、EXT. U.S. EMBASSY COMPOUND -- DAY | 38、INT. U.S. CONSULATE OFFICE HALLWAY -- DAY | 42、INT. U.S. CONSULATE BACK STAIRWAY -- DAY,What happens after Bourne enters the restricted hallway?,An alarm blares as Bourne escapes by climbing the stairs quickly.,"After Bourne moves down the hallway and a bureaucrat reacts, the passage states that Bourne climbs the stairs rapidly while a security alarm screams behind him.",Temporal Reasoning,broad_coverage_event_chain
35,30、INT. BANK SAFETY DEPOSIT VIEWING ROOM -- DAY,What does the man state about his name and residence after examining the documents?,"He states that his name is Jason Bourne and that he lives at 121, Rue de la Jardin, Paris.","He says, 'My name is Jason Bourne. I live at 121, Rue de la Jardin, Paris.'",Character Understanding,broad_coverage_scene
36,32、EXT. STREETS OF ZURICH -- DAY -- VARIOUS SHOTS,What happens after Bourne sees the jogging officer?,Bourne leaves the street and vanishes into an unknown area.,"Without hesitation, Bourne leaves the street and vanishes into an unknown area, moving out of sight.",Temporal Reasoning,broad_coverage_scene
37,36、INT. U.S. CONSULATE -- VISA ROOM -- DAY | 37、INT. U.S. CONSULATE LOBBY -- DAY | 36、INT. U.S. CONSULATE -- VISA ROOM -- DAY,What does Bourne state about his citizenship when questioned by the clerk?,"Bourne states that he is a U.S. citizen, but hesitates and says he thinks so before confirming.","He pauses, then says yes, but hesitates and corrects himself, saying he thinks so. She presses him, demanding a definite answer. He confirms he is.",Character Understanding,broad_coverage_event_chain
38,109、EXT. PARIS STREET -- NIGHT|125、INT. THE HOTEL ROOM -- NIGHT,How would you describe the relationship between Jason Bourne and Marie when they reunite in the hotel room?,from trusted partners to mutual trust and partnership,"Earlier, the relationship between Jason Bourne and Marie is marked by trusted partners; later, it shifts to mutual trust and partnership.",Role-Relation Continuity,supplementary_cross_scene
39,125、INT. THE HOTEL ROOM -- NIGHT|127、INT. HOTEL ROOM -- DAWN,How would you describe their relationship in light of the previous night's events?,from mutual trust and partnership to traveling together as partners,"Earlier, the relationship between Jason Bourne and Marie is marked by mutual trust and partnership; later, it shifts to traveling together as partners.",Role-Relation Continuity,supplementary_cross_scene
40,64、EXT. A ROAD ON THE OUTSKIRTS OF ZURICH -- DAY|85、INT. PARIS APARTMENT -- DAY|129、EXT. HOTEL DE LA PAIX -- COURTYARD -- DAY,Which character forges a fragile trust with Marie while being targeted by assassins Castel and The Professor?,Jason Bourne,"Jason Bourne is in a developing trust relationship with Marie, is in a ongoing adversaries relationship with Castel, and is in a ongoing adversaries relationship with The Professor.",Role-Relation Continuity,supplementary_cross_scene
41,59、INT. TREADSTONE COMMUNICATIONS DESK -- NIGHT|80、INT. TREADSTONE CONKLIN'S OFFICE -- DAY|152、EXT. TREADSTONE PARIS -- NIGHT,"Which character commands Zorn, clashes with Abbott, and is adversarial toward Jason Bourne?",Conklin,"Conklin is in a operational command relationship relationship with Zorn, is in a ongoing conflict relationship with Abbott, and is in a ongoing adversarial stance relationship with Jason Bourne.",Role-Relation Continuity,supplementary_cross_scene
42,22、EXT. ZURICH PARK -- NIGHT,"What pivotal event involving the second officer occurs after the man counters their attack, setting up the scene's conclusion?",Man disarms and threatens second officer with pistol,"In the Zurich Park confrontation, the man disarms the second officer and presses the pistol to his forehead, threatening him before knocking him unconscious.",Narrative Progression,supplementary_cross_scene
43,30、INT. BANK SAFETY DEPOSIT VIEWING ROOM -- DAY,What does Jason Bourne uncover in the hidden compartment of the safety deposit box that prompts him to pack the burn bag and leave the gun behind?,"Man discovers hidden compartment with money, gun, and supplies","The man lifted the top tray from the safety deposit box and set it aside; Inside the deep bottom tray, he found stacks of hundred-dollar bills bundled in ten-thousand-dollar.",Narrative Progression,supplementary_cross_scene
