movie_id,language,focal_character_count,timeline_node_count,cross_scene_arc_count,timeline_relative_path,arc_relative_path
en04052c0f20834cf1bac19927d8f758e0,English,3,36,12,data/per_movie/English/en04052c0f20834cf1bac19927d8f758e0/gold_character_timelines_v1.json,data/per_movie/English/en04052c0f20834cf1bac19927d8f758e0/gold_cross_scene_arcs_v1.json
en049957b3c0b54085baddbec23e00506c,English,3,29,8,data/per_movie/English/en049957b3c0b54085baddbec23e00506c/gold_character_timelines_v1.json,data/per_movie/English/en049957b3c0b54085baddbec23e00506c/gold_cross_scene_arcs_v1.json
en05bc3690e0134347aa5df63f6920ae65,English,3,30,8,data/per_movie/English/en05bc3690e0134347aa5df63f6920ae65/gold_character_timelines_v1.json,data/per_movie/English/en05bc3690e0134347aa5df63f6920ae65/gold_cross_scene_arcs_v1.json
en0bfaa5e9e6e649c8b008aa84131baaca,English,3,22,7,data/per_movie/English/en0bfaa5e9e6e649c8b008aa84131baaca/gold_character_timelines_v1.json,data/per_movie/English/en0bfaa5e9e6e649c8b008aa84131baaca/gold_cross_scene_arcs_v1.json
en0c08ce1c06774785b5d73d9effd69e6b,English,3,34,10,data/per_movie/English/en0c08ce1c06774785b5d73d9effd69e6b/gold_character_timelines_v1.json,data/per_movie/English/en0c08ce1c06774785b5d73d9effd69e6b/gold_cross_scene_arcs_v1.json
en12839bdf037c46a0a3d9de0e50a6cbaa,English,1,12,4,data/per_movie/English/en12839bdf037c46a0a3d9de0e50a6cbaa/gold_character_timelines_v1.json,data/per_movie/English/en12839bdf037c46a0a3d9de0e50a6cbaa/gold_cross_scene_arcs_v1.json
en13156e4072c04c31ae4b5defda4a7bc5,English,1,11,3,data/per_movie/English/en13156e4072c04c31ae4b5defda4a7bc5/gold_character_timelines_v1.json,data/per_movie/English/en13156e4072c04c31ae4b5defda4a7bc5/gold_cross_scene_arcs_v1.json
en132159a79f6040c88b523d3a87ec3224,English,2,24,7,data/per_movie/English/en132159a79f6040c88b523d3a87ec3224/gold_character_timelines_v1.json,data/per_movie/English/en132159a79f6040c88b523d3a87ec3224/gold_cross_scene_arcs_v1.json
en140365ba66ff4e7481ff1a0b2b5e68e8,English,3,33,11,data/per_movie/English/en140365ba66ff4e7481ff1a0b2b5e68e8/gold_character_timelines_v1.json,data/per_movie/English/en140365ba66ff4e7481ff1a0b2b5e68e8/gold_cross_scene_arcs_v1.json
en17793caa790647fcb4e8ee9221a2a43a,English,3,29,10,data/per_movie/English/en17793caa790647fcb4e8ee9221a2a43a/gold_character_timelines_v1.json,data/per_movie/English/en17793caa790647fcb4e8ee9221a2a43a/gold_cross_scene_arcs_v1.json
en1ae8880bb21245a39ad18f119e163fec,English,3,31,8,data/per_movie/English/en1ae8880bb21245a39ad18f119e163fec/gold_character_timelines_v1.json,data/per_movie/English/en1ae8880bb21245a39ad18f119e163fec/gold_cross_scene_arcs_v1.json
