id,related_scenes,question,answer,related_context,question_type,question_source
1,2、EXT. HONOLULU - DAY,"In [2、EXT. HONOLULU - DAY], What is Matt's emotional state regarding his friends' perceptions of Hawaii?",Frustrated with friends' assumptions about life in Hawaii,Matt's rhetorical questions about his friends' beliefs about Hawaii,Character Understanding,broad_coverage_scene
2,63、INT. MATT AND LIZ'S BEDROOM - NIGHT,What is Matt doing while sitting in the area off the bedroom?,Nursing a whiskey and pressing a phone to his ear,This is where Matt now sits nursing a whiskey and pressing a PHONE to his ear.,Scene Grounding,broad_coverage_scene
3,4、INT. NEUROLOGIST'S OFFICE - DAY,What does Matt say about Elizabeth's accusations?,It was exactly what Elizabeth used to accuse me of.,MATT (V.O.) It was exactly what Elizabeth used to accuse me of.,Character Understanding,broad_coverage_scene
4,27、INT. FAMILY CONSULTATION ROOM - DAY,What is the purpose of considering the shortest possible survival time for Matt's wife?,To plan for organ donations.,You should work off the shortest possible scenario. I know I need to get the ball rolling on organ donations right away.,Causal-Motivational Reasoning,broad_coverage_scene
5,57、INT. MATT'S CAR - DAY,How does Matt react when Sid insults his wife?,Slams on the brakes and points a menacing finger,"SLAMMING ON THE BRAKES, Matt turns around, points a menacing finger.",Scene Grounding,broad_coverage_scene
6,29、INT. HOSPITAL ROOM - CONTINUOUS,Why does Matt smile despite expecting a grim moment?,Because the room is filled with warmth and life.,"Matt smiles -- he'd been expecting a grim moment alone with Elizabeth, but instead he finds a room full of warmth and life.",Causal-Motivational Reasoning,broad_coverage_scene
7,29、INT. HOSPITAL ROOM - CONTINUOUS,Why is Kai applying makeup to Elizabeth?,Because she's been looking pale and cooped up.,Kai: 'she's been looking a little pale lately all cooped up in here',Causal-Motivational Reasoning,broad_coverage_scene
8,10、INT. HOSPITAL GIFT SHOP - DAY,"In [10、INT. HOSPITAL GIFT SHOP - DAY], What is Matt's emotional state when he looks at the postcard?",He is barely containing his rage.,"Barely containing his rage, Matt stares at postcard",Character Understanding,broad_coverage_scene
9,35、INT. AIRPLANE - DAY,What belief does Matt express about families?,A family seems exactly like an archipelago.,"A family seems exactly like an archipelago -- all part of the same geographic expression but still islands -- separate and alone, always drifting slowly apart.",Character Understanding,broad_coverage_scene
10,13、INT. HOSPITAL ROOM - CONTINUOUS,What causes Scottie to bolt out the door?,Matt's confrontation and taking her phone.,Scottie fights him as he snatches her phone away. ... Scottie bolts out the door.,Causal-Motivational Reasoning,broad_coverage_scene
11,9、INT. HOSPITAL HALLWAY - DAY,"In [9、INT. HOSPITAL HALLWAY - DAY], What emotional state does Matt express about his responsibilities?",He feels burdened and wants to hide.,I just want to hide.,Character Understanding,broad_coverage_scene
12,54、EXT. KING SWIMMING POOL - DAY,How is Sid described physically and in terms of expression when he rises from his chair?,Lanky and odd with a permanent smirk,"Lanky and odd, a permanent smirk on his face",Scene Grounding,broad_coverage_scene
13,46、EXT. KING SWIMMING POOL - DAY,What does Alexandra believe about Scottie's behavior?,That spending more time with her would prevent her from acting like a spaz.,"Maybe if you spent more time with her, she wouldn't act like such a complete spaz.",Character Understanding,broad_coverage_scene
14,60、EXT. BRIAN SPEER'S BLOCK - KAHALA - DAY,How do the characters react to the plumbing truck?,They reflexively crouch down before catching themselves.,A PLUMBING TRUCK drives up the road. The three of them reflexively crouch down before catching themselves.,Scene Grounding,broad_coverage_scene
15,39、INT. DORM SUPERVISOR'S ROOM HALLWAY - NIGHT,What caused Matt to arrive at the dormitory?,He needed to pick up his daughter Alexandra.,"I've come to pick up my daughter, Alexandra.",Causal-Motivational Reasoning,broad_coverage_scene
16,31、EXT. OCEAN OUTRIGGER BEACH - DAY,What prompts Matt to suggest getting something to eat?,Scottie's statement about being hungry,SCOTTIE: I'm hungry! MATT: What else is new? Let's get you something to eat.,Causal-Motivational Reasoning,broad_coverage_scene
17,35、INT. AIRPLANE - DAY,What does Matt say about finding his daughter on a different island?,It feels natural to find a daughter of mine on a different island.,Somehow it feels natural to find a daughter of mine on a different island.,Character Understanding,broad_coverage_scene
18,7、EXT. ELEMENTARY SCHOOL - DAY,What causes Matt to disagree with Scottie's art project?,He believes their mother's condition is private.,you don't share personal stuff like that with strangers. What's going on with Mom is private,Causal-Motivational Reasoning,broad_coverage_scene
19,9、INT. HOSPITAL HALLWAY - DAY,"In [9、INT. HOSPITAL HALLWAY - DAY], What is Matt's role in the family's land decision?",He is the sole trustee and controlling trustee.,"I'm the sole trustee, the controlling trustee, so I hold all the cards.",Character Understanding,broad_coverage_scene
20,16、INT. KING HOUSE - DAY,How does Matt react after the conversation with Barb?,Draws a long exasperated breath,"Matt draws a long exasperated breath, as if everything else weren't enough already.",Scene Grounding,broad_coverage_scene
21,2、EXT. HONOLULU - DAY,"In [2、EXT. HONOLULU - DAY], What behavioral state does Matt describe regarding surfing?",Hasn't been on a surfboard in fifteen years,Matt's statement about not having surfed in fifteen years,Character Understanding,broad_coverage_scene
22,54、EXT. KING SWIMMING POOL - DAY,What specific action does Sid take when shaking hands with Matt?,Pulls Matt into a man-hug and thumps him on the back,Sid pulls Matt into a man-hug and thumps him on the back,Scene Grounding,broad_coverage_scene
23,11、INT. HOSPITAL STAIRWAY - DAY,What action does Matt take when he forgoes the elevator?,"Trudges upstairs, possibly to squeeze in exercise.",Forgoing the elevator -- perhaps to squeeze in a little exercise -- Matt trudges upstairs.,Scene Grounding,broad_coverage_scene
24,41、EXT. SOCCER FIELD - NIGHT,What does Alexandra exclaim after hearing about her mother?,Fuck Mom!,ALEXANDRA Fuck Mom!,Character Understanding,broad_coverage_scene
25,41、EXT. SOCCER FIELD - NIGHT,What does Alexandra say when she sees her father?,My fucking dad is here!,"ALEXANDRA (laughing, to Emily) My fucking dad is here!",Character Understanding,broad_coverage_scene
26,13、INT. HOSPITAL ROOM - CONTINUOUS,Why does Matt take Scottie's phone?,Because she was lying and texting excessively.,"MATT: Jesus Christ, enough with the goddamn texting! Give me that phone! ... Scottie fights him as he snatches her phone away.",Causal-Motivational Reasoning,broad_coverage_scene
27,17、INT. MATT'S CAR - DAY | 7、EXT. ELEMENTARY SCHOOL - DAY | 13、INT. HOSPITAL ROOM - CONTINUOUS,What does Matt state about his ability to handle the situation without Elizabeth?,Matt states that he cannot handle the situation alone without Elizabeth.,"Matt says, 'I can't do this alone,' when speaking to Elizabeth, expressing his emotional need for her to wake up.",Character Understanding,broad_coverage_event_chain
28,3、INT. HOSPITAL ROOM - DAY | 11、INT. HOSPITAL STAIRWAY - DAY | 13、INT. HOSPITAL ROOM - CONTINUOUS,What does Matt express about his ability to handle the situation without Elizabeth?,Matt expresses that he cannot handle the situation without Elizabeth.,"He says, 'I need you. I can't do this alone,' indicating his emotional dependence on her and his struggle to cope.",Character Understanding,broad_coverage_event_chain
29,8、INT. HOSPITAL ROOM - DAY | 46、EXT. KING SWIMMING POOL - DAY,What does Matt state about the effect of sugar on Scottie?,Matt states that sugar makes Scottie cranky.,Matt says the sugar makes her cranky.,Character Understanding,broad_coverage_event_chain
30,46、EXT. KING SWIMMING POOL - DAY | 7、EXT. ELEMENTARY SCHOOL - DAY | 13、INT. HOSPITAL ROOM - CONTINUOUS,What does Matt state about his ability to handle the situation with Scottie?,Matt states that he does not know how to handle Scottie.,"Matt responds that he brought her there to help, admitting he doesn't know how to handle Scottie.",Character Understanding,broad_coverage_event_chain
31,46、EXT. KING SWIMMING POOL - DAY | 47、INT. LIVING ROOM - DAY | 48、EXT. KING HOUSE - DAY,Why does Matt leave abruptly after talking with Alexandra in the pool?,Matt leaves abruptly because he becomes visibly unsettled after learning from Alexandra about her mother's affair and the confrontation that followed.,"After hearing Alexandra describe seeing her mother with another man and learning about the confrontation that followed, Matt stands up abruptly. He paces in a small circle, visibly unsettled, then stops. Without saying more, he tells Alexandra to watch Scottie and walks away.",Causal-Motivational Reasoning,broad_coverage_event_chain
32,3、INT. HOSPITAL ROOM - DAY | 5、INT. HOSPITAL ROOM - DAY | 13、INT. HOSPITAL ROOM - CONTINUOUS,What does Matt state about his belief regarding his wife's condition?,Matt states that he believes his wife will recover from her condition.,He insists to himself that she will pull through.,Character Understanding,broad_coverage_event_chain
33,8、INT. HOSPITAL ROOM - DAY | 46、EXT. KING SWIMMING POOL - DAY | 41、EXT. SOCCER FIELD - NIGHT,What does Matt state about the reason Scottie should talk to Elizabeth?,"Matt states that speaking might help Elizabeth or at least help Scottie, because people in a coma can sometimes hear.","He reminds her that people in a coma can sometimes hear, and that speaking might help Elizabeth or at least help Scottie.",Character Understanding,broad_coverage_event_chain
34,43、INT. KING HOUSE - NIGHT | 44、INT. ALEXANDRA'S ROOM - CONTINUOUS | 45、INT. KING KITCHEN - DAY,What does Scottie state about the scrambled eggs Matt prepared?,Scottie states that they do not like eggs and thought the eggs were meant for Matt.,Scottie looks at the food and says they don’t like eggs. Scottie replies that they thought the eggs were meant for Matt.,Character Understanding,broad_coverage_event_chain
35,46、EXT. KING SWIMMING POOL - DAY,Why does Alexandra suggest that Matt take Scottie camping on Kaua'i?,"Alexandra suggests that Matt take Scottie camping on Kaua'i because she believes spending more time together will help address Scottie's behavioral issues, as it was a method her own mother used when she was acting out.","Alexandra tells Matt that he should spend more time with Scottie and suggests he take her camping on Kaua'i, saying that’s what her mother used to do when she was acting out.",Causal-Motivational Reasoning,broad_coverage_scene
36,46、EXT. KING SWIMMING POOL - DAY | 47、INT. LIVING ROOM - DAY,What does Alexandra state about her mother's behavior during the confrontation at Christmas?,"Alexandra states that when she confronted her mother about the affair, her mother first pretended not to understand and then became angry and denied everything.","She describes how she confronted her mother, who first pretended not to understand, then became angry and denied everything.",Character Understanding,broad_coverage_event_chain
37,7、EXT. ELEMENTARY SCHOOL - DAY | 20、INT. LANI'S HOUSE - CONTINUOUS,What does Scottie state about her identity in relation to photography?,Scottie states that she is a real photographer.,Scottie says she’s a real photographer and explains that she saw a famous photographer do the same thing—taking pictures of her mother while she was sick—and that the images became art.,Character Understanding,broad_coverage_event_chain
38,41、EXT. SOCCER FIELD - NIGHT | 47、INT. LIVING ROOM - DAY | 48、EXT. KING HOUSE - DAY,What does Matt state about why Alexandra needs to come home?,Matt states that Alexandra needs to come see her mother.,"When Matt says Alexandra needs to come see her mother, Alexandra strides forward and hurls her golf club into the darkness, shouting a curse.",Character Understanding,broad_coverage_event_chain
39,47、INT. LIVING ROOM - DAY | 48、EXT. KING HOUSE - DAY,What does Matt do immediately after he stops pacing following Alexandra's revelation about her mother?,He tells Alexandra to watch Scottie and walks away.,"Without speaking, he tells Alexandra to watch Scottie and walks away.",Temporal Reasoning,broad_coverage_event_chain
40,45、INT. KING KITCHEN - DAY | 46、EXT. KING SWIMMING POOL - DAY | 47、INT. LIVING ROOM - DAY | 48、EXT. KING HOUSE - DAY,When does Matt run down the street in relation to learning about the affair?,Matt runs down the street after learning about the affair.,"After hearing Alexandra describe seeing her mother with another man and learning about the confrontation that followed, Matt stands up abruptly... Without saying more, he tells Alexandra to watch Scottie and walks away. Matt bursts out of his house and sprints down the street.",Temporal Reasoning,broad_coverage_event_chain
41,32、EXT. OCEAN OUTRIGGER RESTAURANT - DAY | 13、INT. HOSPITAL ROOM - CONTINUOUS,Why does Scottie leave the room in the second instance?,Scottie leaves the room after Matt takes her phone and says they can go.,"Matt grabs Scottie's phone after a struggle. He tells her they can go, and Scottie immediately gets up from the sofa. Then Scottie runs out the door.",Causal-Motivational Reasoning,broad_coverage_event_chain
42,100、EXT. HANALEI BAY COTTAGE - NIGHT|103、INT. AIRPLANE - NIGHT,"How should Matt King's relationship with Alexandra be characterized during their conversation on the airplane, compared to their earlier interaction at the cottage?",from father to trusted companions,"Earlier, the relationship between Matt King and Alexandra is marked by father; later, it shifts to trusted companions.",Role-Relation Continuity,supplementary_cross_scene
43,103、INT. AIRPLANE - NIGHT|106、INT. HOSPICE ROOM - THE NEXT DAY,How should Matt King and Sid's relationship be characterized across the key scenes from the airplane to the hospice?,from trusted companions to trusted support partners,"Earlier, the relationship between Matt King and Sid is marked by trusted companions; later, it shifts to trusted support partners.",Role-Relation Continuity,supplementary_cross_scene
