id,related_scenes,question,answer,related_context,question_type,question_source
1,28、EXT. BLACKENED LANDING SITE - DAWNBREAK,How long has Major Bell been investigating sightings?,Seventeen years,I've been investigating sightings for seventeen years,Temporal Reasoning,broad_coverage_scene
2,30、INT. BIOQUARANTINE TENT (HOUSING TRACT) - DAWNBREAK,What happens immediately after the drill breaks through the faceplate?,"The faceplate explodes out of the helmet, and the men panic.",The drill breaks through and the faceplate explodes out of the helmet. The men throw themselves back in panic.,Temporal Reasoning,broad_coverage_scene
3,7、EXT. HOUSING TRACT - NIGHT,"In [7、EXT. HOUSING TRACT - NIGHT], What is the officer's emotional state when he says 'There's nothing there'?",Skeptical,"Benny, there's nothing there.",Character Understanding,broad_coverage_scene
4,58、EXT. STREET - DAWN,"In [58、EXT. STREET - DAWN], What is the man's emotional state when the STAR MAN points the gun?",Fearful and apologetic.,"MAN: 'Oh God, man... don't shoot me... My mistake... I'm sorry...'",Character Understanding,broad_coverage_scene
5,47、INT. HELICOPTER - NIGHT,What does Dr. Bergen believe about the aliens' intentions?,They could be dangerous but also the greatest thing to mankind.,They're so advanced... I... eh... can't imagine what they would want from us. I know they could be dangerous. But they could also be the greatest thing that ever happened to mankind...,Character Understanding,broad_coverage_scene
6,37、EXT. HILLSIDE - LATE AFTERNOON,When does the message ball rise into the sky?,After STAR MAN opens his hands following the transformation.,He opens his hands and the ball rises quickly into the sky.,Temporal Reasoning,broad_coverage_scene
7,44、INT. HOUSE - NIGHT,Why does Jenny lower the gun?,She sees the STAR MAN holding a photo and undergoing transformation.,Jenny begins to tremble and lowers the gun.,Causal-Motivational Reasoning,broad_coverage_scene
8,39、INT. HELICOPTER - LATE AFTERNOON,What does Major Bell believe about the UFOs?,They're probably friendly.,I'm telling you they're probably friendly.,Character Understanding,broad_coverage_scene
9,56、EXT. STREET - DAWN,Why does the van swerve to its left?,Because the Mustang skids sideways across the center line.,The Mustang skids sideways across the center line. The oncoming van jams on its brakes and swerves to its left.,Causal-Motivational Reasoning,broad_coverage_scene
10,57、INT. MUSTANG - DAWN,What causes both vehicles to shudder to a stop?,The van clips the rear fender of the Mustang.,van... clips the rear fender of the Mustang. Both vehicles shudder to a stop,Causal-Motivational Reasoning,broad_coverage_scene
11,53、INT. MUSTANG - DAWNBREAK,What causes the STAR MAN to touch the steering wheel?,He is attempting to communicate the term for the steering wheel in his language.,"Uttering a phrase in his own language, the STAR MAN touches the steering wheel.",Causal-Motivational Reasoning,broad_coverage_scene
12,3、EXT. HIGHWAY - NIGHT,What action does the squad car perform upon reaching the sign?,It skids off the asphalt and starts up a rutted dirt road.,The squad car skids off the asphalt in front of the sign and starts up a rutted dirt road.,Scene Grounding,broad_coverage_scene
13,30、INT. BIOQUARANTINE TENT (HOUSING TRACT) - DAWNBREAK,When does the projection beam shoot out of the helmet?,After the men freeze following the percussive language.,a burst of percussive language... comes from inside... The men freeze. There is another burst... projection beam shoots out.,Temporal Reasoning,broad_coverage_scene
14,41、INT. HOUSE - NIGHT,What is the function of the identification light mentioned in the passage?,It indicates the STAR MAN's identity.,the identification light comes on inside his helmet,Scene Grounding,broad_coverage_scene
15,16、EXT. HOUSING TRACT - NIGHT,"In [16、EXT. HOUSING TRACT - NIGHT], What is the officer's emotional state when he fires at the figure?",Terrified,In terror he raises his shotgun and fires wildly at it.,Character Understanding,broad_coverage_scene
16,46、INT. SMALL RECTANGULAR ROOM - NIGHT,What does Dr. Bergen believe regarding bacterial contamination?,No danger of bacterial contamination due to different biochemistries.,We don't think there is any danger of bacterial contamination. Our biochemistries are too different...,Character Understanding,broad_coverage_scene
