id,related_scenes,question,answer,related_context,question_type,question_source
1,"9、EXT. ROYAL BARGE, THAMES - DAY",Why does Walsingham mention Mary Stuart's son?,To highlight the threat she poses as Elizabeth's heir apparent.,WALSINGHAM: Mary Stuart has a son - ELIZABETH: Why does everyone torment me with Mary Stuart?,Causal-Motivational Reasoning,broad_coverage_scene
2,48、INT/EXT. LONDON HOUSE - NIGHT,When does the woman hurry away?,After the agents burst in,"Beyond, the woman - not Bess - is hurrying away.",Temporal Reasoning,broad_coverage_scene
3,61、EXT. GALLOWS - DAY,"In [61、EXT. GALLOWS - DAY], What is Throckmorton's physical condition after the fall?",His neck is broken.,His neck breaks.,Character Understanding,broad_coverage_scene
4,5、EXT. THAMES - DAY,"In [5、EXT. THAMES - DAY], What role does HOWARD play in the scene?",He warns the Queen about potential assassination by Catholics.,"HOWARD (V.O.) Why do you go among the people, majesty? I tell you plainly, you will be murdered! Every Catholic in England is a potential assassin!",Character Understanding,broad_coverage_scene
5,5、EXT. THAMES - DAY,"In [5、EXT. THAMES - DAY], What is the behavioral state of BABINGTON and SAVAGE as they observe the Queen?","They stare intently without cheering, showing a chilling demeanor.",Two young men walking arm-in-arm stare more intently than any; but they do not cheer or wave. There's something chilling in the way they track the distant figure of the Queen.,Character Understanding,broad_coverage_scene
6,20、INT. CHAPEL ROYAL - DAY,"In [20、INT. CHAPEL ROYAL - DAY], What is the Queen's emotional state?",Privately amused,privately amused,Character Understanding,broad_coverage_scene
7,"4、EXT. BALCONY, ESCORIAL PALACE - DAY","In [4、EXT. BALCONY, ESCORIAL PALACE - DAY], What is Philip's behavioral state?",Feeds on his people's adoration,"the king's eyes glow and he breathes in deeply, feeding on his people's adoration",Character Understanding,broad_coverage_scene
8,38、INT QUEEN'S PRIVATE QUARTERS - DAY,What does 'majesty' refer to in the dialogue?,"A title of respect for a monarch, specifically Elizabeth","Reward my mission, majesty, not me.",Scene Grounding,broad_coverage_scene
9,33、INT. QUEEN'S PRIVATE QUARTERS - DAY,How does Raleigh describe the ship's size during his ocean crossing?,Small - tiny - a speck in such immensity,Your ship is small - tiny - a speck in such immensity,Scene Grounding,broad_coverage_scene
10,"34、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",What actions does Raleigh's voiceover describe?,"Studying charts, watching the compass, and praying for a fair wind.","Study your charts, and watch your compass, and pray for a fair wind - and hope.",Scene Grounding,broad_coverage_scene
11,"52、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY","In [52、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY], What emotional state does Elizabeth display when Walsingham enters?",Shows irritation and fear,"frown of irritation, flash of fear in Bess's eyes",Character Understanding,broad_coverage_scene
12,33、INT. QUEEN'S PRIVATE QUARTERS - DAY,What is Elizabeth doing as Raleigh recounts his adventures?,"Listening attentively, her eyes looking far away","Elizabeth listens attentively, her eyes looking far away into the distance",Scene Grounding,broad_coverage_scene
13,59、EXT. GALLOWS - DAY,"In [59、EXT. GALLOWS - DAY], What is Throckmorton's physical condition?",Ravaged by the tortures he's endured,His face is ravaged by the tortures he's endured,Character Understanding,broad_coverage_scene
14,41、INT. WHITEHALL PALACE - NIGHT,"In [41、INT. WHITEHALL PALACE - NIGHT], What is Bess's current action?",Navigating the palace corridor while stepping over sleeping courtiers.,"Bess makes her way down the dark palace corridor, stepping over sleeping courtiers as she goes.",Character Understanding,broad_coverage_scene
15,59、EXT. GALLOWS - DAY,"In [59、EXT. GALLOWS - DAY], What is Throckmorton's behavioral state?","Holds his head high, ready for death","He holds his head high, ready for death",Character Understanding,broad_coverage_scene
16,"9、EXT. ROYAL BARGE, THAMES - DAY",What causes Elizabeth's disagreement with Walsingham about finding a husband?,Her preference for the 'impossible' over the 'possible' in marital choices.,ELIZABETH: I find the impossible far more interesting. WALSINGHAM: I confine myself to the possible.,Causal-Motivational Reasoning,broad_coverage_scene
17,7、EXT. THAMES - DAY,What does Howard believe about Catholics?,All Catholics are traitors loyal to the Pope of Rome.,"HOWARD (V.O.) Treachery, ma'am. All Catholics are traitors! Their loyalty is to the Pope of Rome.",Character Understanding,broad_coverage_scene
18,"6、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",What belief does Hatton express about Mary Stuart?,She is the poison at the heart of England.,HATTON She is the poison at the heart of England.,Character Understanding,broad_coverage_scene
19,60、INT. SECRET ROOM - DAY,"In [60、INT. SECRET ROOM - DAY], What is Reston's role among the conspirators?",He is a leader guiding their prayers and actions.,Reston and the conspirators pray. Reston puts his hands on Babington's shoulders and forces him to pray with them.,Character Understanding,broad_coverage_scene
