id,related_scenes,question,answer,related_context,question_type,question_source
1,44、EXT. FOREST - NIGHT,What causes Brenda to scream?,Seeing the tubule emerge from Grant's wound,Brenda's eyes widen ... She SCREAMS.,Causal-Motivational Reasoning,broad_coverage_scene
2,24、INT. GRANT BATHROOM - DAY,"In [24、INT. GRANT BATHROOM - DAY], What is the condition of Grant's wound?","Blackened, gangrenous, with a veiny spout and bluish moss","The wound on his side is blackened and gangrenous, and is starting to puff up into a veiny little spout. A fuzzy bluish moss is growing in the crevices around the spout.",Character Understanding,broad_coverage_scene
3,54、EXT. OLD BARN - EVENING,What action is Grant performing while moving through the forest?,Dragging the garbage bag while in massive pain,"Grant moves through the forest, in massive pain, dragging the garbage bag.",Scene Grounding,broad_coverage_scene
4,40、EXT. WHEELSY SADDLE LODGE - LATER,What caused Grant to grab Starla's arm when he saw Will?,"He was distrustful of Will, as indicated by his reaction.","Grant stares at the boy with distrust, and ushers Starla towards the lodge.",Causal-Motivational Reasoning,broad_coverage_scene
5,51、INT. GRANT BEDROOM - MOMENTS LATER,What visible signs indicate Grant's condition?,Small pustules all over his face.,There are small pustules all over his face.,Scene Grounding,broad_coverage_scene
6,51、INT. GRANT BEDROOM - MOMENTS LATER,What does Starla do when Grant suddenly appears in the room?,"Starla screams and stares at him, mute and horrified.","Starla, startled, SCREAMS. Starla stares at him, mute and horrified.",Scene Grounding,broad_coverage_scene
7,40、EXT. WHEELSY SADDLE LODGE - LATER,Why was Margaret fired by Bill?,Bill fired her after Jack's directive to maintain order as Chief of Police.,"Jack... Comes with some Goddamn responsibility, like keeping your people in line. BILL... Margaret, you're fired.",Causal-Motivational Reasoning,broad_coverage_scene
8,57、INT. GRANT FOYER - NIGHT,What does 'Tipper Creek' refer to?,A location where Brenda's necklace and blood were found.,The passage states kids found Brenda's necklace near Tipper Creek.,Scene Grounding,broad_coverage_scene
9,41、INT. WHEELSY SADDLE LODGE - NIGHT,Why did Grant suggest Starla and Janene catch up?,To go see what the boys were doing.,Why don't you two catch up? I'll go see what the boys are doing.,Causal-Motivational Reasoning,broad_coverage_scene
10,13、INT. GRANT MASTER BATHROOM - LATER,"In [13、INT. GRANT MASTER BATHROOM - LATER], What is Starla's emotional state as she brushes her hair?",She appears hesitant and is stalling.,"She uses long, slow strokes, as if stalling.",Character Understanding,broad_coverage_scene
